The ^ati++++=The
results ^nns++++=results
of ^in++++=of
the ^ati++++=the
Granger ^np++++=Granger
causality ^nn+++??+=causality
test ^nn++++=test
indicated ^vbd+vprv++xvbn+=indicated
that ^tht+vcmp+++=that
Fdi ^np+++??+=FDI
inflows ^nns++++=inflows
and ^cc++++=and
Gdp ^np+++??+=GDP
influenced ^vwbn+++xvbn+=influenced
the ^ati++++=the
Turkish ^jj+atrb+++=Turkish
economy ^nn++++=economy
in ^in++++=in
distinct ^jj+atrb+++=distinct
ways ^nns++++=ways,
, ^zz++++=EXTRAWORD
with ^in++++=with
both ^abx++++=both
variables ^nns++++=variables
experiencing ^vwbg+++xvbg+=experiencing
a ^at++++=a
decline ^nn++++=decline
during ^in++++=during
the ^ati++++=the
study ^nn++++=study
period ^nn++++=period.
. ^zz++++=EXTRAWORD
Despite ^in++++=Despite
this ^dt+dem+++=this
decline ^nn++++=decline,
, ^zz++++=EXTRAWORD
the ^ati++++=the
findings ^nns++++=findings
demonstrated ^vbd+vprv++xvbn+=demonstrated
that ^tht+vcmp+++=that
tourism ^nn+++??+=tourism
income ^nn++++=income
remains ^vbz++++=remains
a ^at++++=a
significant ^jj+atrb+++=significant
source ^nn++++=source
of ^in++++=of
revenue ^nn++++=revenue
for ^in++++=for
Turkey ^nn++++=Turkey.
. ^zz++++=EXTRAWORD
Similarly ^rb+cnj+++=Similarly,
, ^zz++++=EXTRAWORD
Din ^np+++??+=Din
er ^&fw++++=er
( ^zz++++=(2015)
2015 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
analyzed ^nn+++??+=analyzed
the ^ati++++=the
impact ^nn++++=impact
of ^in++++=of
monetary ^jj+atrb+++=monetary
policies ^nns++++=policies
and ^cc++++=and
the ^ati++++=the
real ^rb+emph+++=real
effective ^jj+atrb+++=effective
exchange ^nn++++=exchange
rate ^nn++++=rate
( ^zz++++=(REER)
reer ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
during ^in++++=during
the ^ati++++=the
2000s ^cd++++=2000s
to ^to++++=to
examine ^vbi++++=examine
macroeconomic ^nn+++??+=macroeconomic
dynamics ^nn++++=dynamics
in ^in++++=in
the ^ati++++=the
Turkish ^jj+atrb+++=Turkish
economy ^nn++++=economy.
. ^zz++++=EXTRAWORD
Din ^np+++??+=Din
er ^&fw++++=er
concluded ^vbd+vprv++xvbn+=concluded
that ^tht+vcmp+++=that
currency ^nn++++=currency
volatility ^nn++++=volatility
in ^in++++=in
Turkey ^np++++=Turkey
decreased ^vbd+++xvbn+=decreased
following ^jj+++xvbg+=following
recent ^jj+atrb+++=recent
financial ^jj+atrb+++=financial
sector ^nn++++=sector
regulations ^nns++++=regulations.
. ^zz++++=EXTRAWORD
Furthermore ^rb+cnj+++=Furthermore,
, ^zz++++=EXTRAWORD
Din ^np+++??+=Din
er ^&fw++++=er
noted ^vprf+++xvbn+=noted
that ^tht+vcmp+++=that
the ^ati++++=the
tourism ^nn+++??+=tourism
sector ^nn++++=sector
s ^zz++++=s
contribution ^nn++++=contribution
and ^cc++++=and
added ^jj+atrb++xvbn+=added
value ^nn++++=value
to ^in++++=to
the ^ati++++=the
national ^jj+atrb+++=national
economy ^nn++++=economy
played ^vbd+++xvbn+=played
a ^at++++=a
significant ^jj+atrb+++=significant
role ^nn++++=role
in ^in++++=in
this ^dt+dem+++=this
trend ^nn++++=trend,
, ^zz++++=EXTRAWORD
as ^ql++++=as
tourism ^vb+++??+=tourism
is ^vbz+bez+vrb++=is
a ^at++++=a
major ^jj+atrb+++=major
sector ^nn++++=sector
open ^jj++++=open
to ^in++++=to
international ^jj+atrb+++=international
markets ^nns++++=markets
and ^cc++++=and
has ^vbz+hvz+vrb++=has
a ^at++++=a
strong ^jj+atrb+++=strong
capacity ^nn++++=capacity
to ^to+ncmp+++=to
attract ^vb++++=attract
foreign ^jj+atrb+++=foreign
currency ^nn++++=currency.
. ^zz++++=EXTRAWORD
