As ^in++++=As
the ^ati++++=the
Covid ^np+++??+=COVID-19
- ^zz++++=EXTRAWORD
19 ^cd++++=EXTRAWORD
pandemic ^nn+++??+=pandemic
continues ^vbz++++=continues
to ^to++++=to
evolve ^vbi++++=evolve,
, ^zz++++=EXTRAWORD
inflammatory ^jj+atrb+++=inflammatory
bowel ^nn++++=bowel
disease ^nn++++=disease
( ^zz++++=(IBD)
ibd ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
specialists ^nns++++=specialists
worldwide ^nn+++??+=worldwide
have ^vb+hv+aux++=have
been ^vprf+ben+aux+xvbnx+=been
required ^vpsv++agls+xvbnx+=required
to ^to+vcmp+++=to
address ^vb++++=address
the ^ati++++=the
unique ^nn++++=unique
challenges ^vbz++++=challenges
faced ^vpsv++by+xvbn+=faced
by ^in++++=by
their ^pp$+pp3+++=their
patients ^nns++++=patients,
, ^zz++++=EXTRAWORD
particularly ^rb++++=particularly
concerning ^in++++=concerning
the ^ati++++=the
risks ^nns++++=risks
associated ^vbd+++xvbn+=associated
with ^in++++=with
infection ^nn++++=infection
and ^cc++++=and
the ^ati++++=the
management ^nn++++=management
of ^in++++=of
immunosuppressive ^nn+++??+=immunosuppressive
therapies ^nns+++??+=therapies.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
review ^nn++++=review
aims ^vb++++=aims
to ^to+vcmp+++=to
summarize ^vbi++++=summarize
the ^ati++++=the
most ^ql+emph+++=most
current ^jj+atrb+++=current
evidence ^nn++++=evidence
and ^cc++++=and
expert ^jj+atrb+++=expert
opinions ^nns++++=opinions
regarding ^in++++=regarding
the ^ati++++=the
intersection ^nn++++=intersection
of ^in++++=of
ibd ^np++++=IBD
management ^nn++++=management
and ^cc++++=and
the ^ati++++=the
covid ^np++++=COVID-19
- ^zz++++=EXTRAWORD
19 ^cd++++=EXTRAWORD
pandemic ^nn++++=pandemic.
. ^zz++++=EXTRAWORD
