Given ^vbd+++xvbn+=Given
the ^ati++++=the
potential ^nn++++=potential
for ^in++++=for
the ^ati++++=the
virus ^nn++++=virus
to ^to++++=to
remain ^vbi++++=remain
viable ^jj++++=viable
in ^in++++=in
the ^ati++++=the
environment ^nn++++=environment
for ^in++++=for
several ^ap++++=several
days ^nns++++=days,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
necessary ^jj+pred+++=necessary
to ^to+jcmp+++=to
clean ^vbi++++=clean
facilities ^nns++++=facilities
and ^cc++++=and
areas ^nns++++=areas
that ^tht+rel+obj++=that
may ^md+pos+++=may
be ^vb+be+aux++=be
contaminated ^vpsv++agls+xvbnx+=contaminated
with ^in++++=with
Sars ^np+++??+=SARS-CoV-2
- ^zz++++=EXTRAWORD
cov ^nn+++??+=EXTRAWORD
- ^zz++++=EXTRAWORD
2 ^zz++++=EXTRAWORD
prior ^in+cmpx+++=prior
to ^in++++=to
reuse ^nn+++??+=reuse,
, ^zz++++=EXTRAWORD
utilizing ^nn+++??+=utilizing
products ^nns++++=products
that ^tht+rel+subj++=that
contain ^vb++++=contain
antimicrobial ^jj+atrb++??+=antimicrobial
agents ^nns++++=agents
demonstrated ^vbd+vprv++xvbn+=demonstrated
to ^to++++=to
be ^vbi++vrb++=be
effective ^jj+pred+++=effective
against ^in++++=against
coronaviruses.13,17 ^nn+++??+=coronaviruses.13,17
Although ^cs+con+++=Although
specific ^jj+atrb+++=specific
evidence ^nn++++=evidence
regarding ^in++++=regarding
the ^ati++++=the
efficacy ^nn++++=efficacy
of ^in++++=of
these ^dt+dem+++=these
measures ^nns++++=measures
against ^in++++=against
Sars ^np+++??+=SARS-CoV-2
- ^zz++++=EXTRAWORD
cov ^nn+++??+=EXTRAWORD
- ^zz++++=EXTRAWORD
2 ^zz++++=EXTRAWORD
is ^vbz+bez+aux++=is
limited ^vpsv++agls+xvbnx+=limited,
, ^zz++++=EXTRAWORD
cleaning ^nvbg+++xvbg+=cleaning
with ^in++++=with
water ^nn++++=water
and ^cc++++=and
household ^nn++++=household
detergents ^nns++++=detergents,
, ^zz++++=EXTRAWORD
as ^cs+sub+++=as
well ^rb++++=well
as ^cs+sub+++=as
the ^ati++++=the
use ^nn++++=use
of ^in++++=of
common ^jj+atrb+++=common
disinfectant ^jj+atrb+++=disinfectant
products ^nns++++=products,
, ^zz++++=EXTRAWORD
is ^vbz+bez+aux++=is
considered ^vbd+vprv++xvbn+=considered
adequate ^jj++++=adequate
for ^in++++=for
general ^jj+atrb+++=general
household ^nn++++=household
cleaning.19 ^nn++++=cleaning.19-20
- ^zz++++=EXTRAWORD
20 ^nn++++=EXTRAWORD
