Although ^cs+con+++=Although
the ^ati++++=the
studied ^jj+atrb++xvbn+=studied
area ^nn++++=area
demonstrates ^vbz+vpub+++=demonstrates
progress ^nn++++=progress
toward ^in++++=toward
an ^at++++=an
advanced ^jj+atrb++xvbn+=advanced
stage ^nn++++=stage
of ^in++++=of
regeneration ^nn++++=regeneration,
, ^zz++++=EXTRAWORD
targeted ^nn+++??+=targeted
studies ^nns++++=studies
are ^vb+ber+aux++=are
required ^vpsv++agls+xvbnx+=required
to ^to+vcmp+++=to
directly ^rb++splt++=directly
evaluate ^vbi++++=evaluate
the ^ati++++=the
influence ^nn++++=influence
of ^in++++=of
the ^ati++++=the
factors ^nns++++=factors
identified ^vwbn+++xvbn+=identified
here ^rn+pl+++=here
on ^rp++++=on
forest ^npl++++=forest
dynamics ^nn++++=dynamics.
. ^zz++++=EXTRAWORD
In ^in++++=In
the ^ati++++=the
case ^nn++++=case
of ^in++++=of
an ^at++++=an
isolated ^jj+++xvbn+=isolated
forest ^npl++++=forest
fragment ^nn++++=fragment
such ^abl++++=such
as ^ql++++=as
the ^ati++++=the
one ^cd1++++=one
examined ^jj+++xvbn+=examined
in ^in++++=in
this ^dt+dem+++=this
study ^nn++++=study,
, ^zz++++=EXTRAWORD
located ^xvbn+++xvbn+=located
within ^in++++=within
a ^at++++=a
highly ^rb+amp+++=highly
urbanized ^jj+atrb++??+=urbanized
environment ^nn++++=environment
and ^cc++++=and
lacking ^jj+atrb++xvbg+=lacking
nearby ^jjb+atrb+++=nearby
forested ^nn+++??+=forested
areas ^nns++++=areas,
, ^zz++++=EXTRAWORD
a ^at++++=a
gradual ^jj+atrb+++=gradual
loss ^nn++++=loss
of ^in++++=of
species ^nns++++=species
over ^in++++=over
time ^nn++++=time
would ^md+prd+++=would
generally ^rb+down+++=generally
be ^vb+be+aux++=be
expected ^vpsv++agls+xvbnx+=expected
( ^zz++++=(Turner
turner ^np++++=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
1995 ^cd+date+++=1995,
, ^zz++++=EXTRAWORD
Turner ^np++++=Turner
1996 ^cd+date+++=1996).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
However ^rb+cnj+++=However,
, ^zz++++=EXTRAWORD
the ^ati++++=the
specific ^jj+atrb+++=specific
local ^jj+atrb+++=local
history ^nn++++=history
( ^zz++++=(Chazdon
chazdon ^nn+++??+=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
2007 ^cd++++=2007,
, ^zz++++=EXTRAWORD
Norden ^np+++??+=Norden
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
2009 ^cd++++=2009),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
increased ^jj+atrb++xvbn+=increased
protective ^jj+atrb+++=protective
measures ^nns++++=measures
against ^in++++=against
the ^ati++++=the
removal ^nn++++=removal
of ^in++++=of
flora ^np++++=flora
and ^cc++++=and
fauna ^nn++++=fauna,
, ^zz++++=EXTRAWORD
reduced ^xvbn+++xvbn+=reduced
incidence ^nn++++=incidence
of ^in++++=of
fire ^nn++++=fire,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
particularly ^rb++++=particularly
the ^ati++++=the
cessation ^nn++++=cessation
of ^in++++=of
emissions ^nns+++??+=emissions
from ^in++++=from
the ^ati++++=the
adjacent ^jj+atrb+++=adjacent
steel ^nn++++=steel
mill ^nn++++=mill
have ^vb+hv+aux++=have
contributed ^vprf+++xvbnx+=contributed
to ^in++++=to
the ^ati++++=the
regeneration ^nn++++=regeneration
of ^in++++=of
the ^ati++++=the
vegetation ^nn++++=vegetation
cover ^nn++++=cover,
, ^zz++++=EXTRAWORD
as ^in++++=as
observed ^nn++++=observed
in ^in++++=in
another ^dt++++=another
section ^nn++++=section
of ^in++++=of
the ^ati++++=the
Park ^npl++++=Park
( ^zz++++=(Gomes
gomes ^np++++=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
2003 ^cd++++=2003).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Despite ^in++++=Despite
its ^pp$+it+++=its
isolation ^nn++++=isolation
and ^cc++++=and
the ^ati++++=the
surrounding ^jj+atrb++xvbg+=surrounding
urban ^jj+atrb+++=urban
landscape ^nn++++=landscape,
, ^zz++++=EXTRAWORD
this ^dt+dem+++=this
remnant ^nn++++=remnant
serves ^vbz++++=serves
as ^in++++=as
a ^at++++=a
significant ^jj+atrb+++=significant
source ^nn++++=source
of ^in++++=of
propagules ^nns+++??+=propagules,
, ^zz++++=EXTRAWORD
provides ^vbz+vsua+++=provides
habitat ^nn++++=habitat
for ^in++++=for
various ^nn++++=various
endangered ^vwbn+++xvbn+=endangered
species ^nn++++=species,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
delivers ^nns+++??+=delivers
essential ^nn++++=essential
ecosystem ^nn+++??+=ecosystem
services ^nns++++=services.
. ^zz++++=EXTRAWORD
These ^dt+dem+++=These
factors ^nns++++=factors
underscore ^nn+++??+=underscore
the ^ati++++=the
ecological ^nn+++??+=ecological
importance ^nn++++=importance
of ^in++++=of
this ^dt+dem+++=this
urban ^jj+atrb+++=urban
forest ^nn++++=forest
fragment ^nn++++=fragment
in ^in++++=in
the ^ati++++=the
context ^nn++++=context
of ^in++++=of
ongoing ^nn+++??+=ongoing
anthropogenic ^nn+++??+=anthropogenic
pressures ^nns++++=pressures.
. ^zz++++=EXTRAWORD
Continuous ^jj++++=Continuous
monitoring ^jj+++xvbg+=monitoring
of ^in++++=of
the ^ati++++=the
plant ^nn++++=plant
community ^nn++++=community
and ^cc++++=and
populations ^nns++++=populations
within ^in++++=within
this ^dt+pdem+++=this
and ^cc++++=and
other ^ap++++=other
areas ^nns++++=areas
of ^in++++=of
the ^ati++++=the
fragment ^nn++++=fragment,
, ^zz++++=EXTRAWORD
including ^in++++=including
climbing ^xvbg+++xvbg+=climbing
plants ^nns++++=plants,
, ^zz++++=EXTRAWORD
may ^md+pos+++=may
help ^vb++++=help
elucidate ^vb++++=elucidate
the ^ati++++=the
relationship ^nn++++=relationship
between ^in++++=between
diversity ^nn++++=diversity,
, ^zz++++=EXTRAWORD
ecosystem ^nn+++??+=ecosystem
resilience ^nn++++=resilience,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
local ^jj+atrb+++=local
factors ^nns++++=factors
influencing ^vbg+++xvbg+=influencing
forest ^npl++++=forest
health ^nn++++=health.
. ^zz++++=EXTRAWORD
