Some ^dti++++=Some
of ^in++++=of
these ^dt+dem+++=these
factors ^nns++++=factors
include ^vb++++=include
a ^at++++=a
controlled ^jj+atrb++xvbn+=controlled
government ^nn++++=government
deficit ^nn++++=deficit,
, ^zz++++=EXTRAWORD
price ^nn++++=price
stability ^nn++++=stability
or ^cc++++=or
a ^at++++=a
controlled ^jj+atrb++xvbn+=controlled
inflation ^nn++++=inflation
rate ^nn++++=rate,
, ^zz++++=EXTRAWORD
stable ^nn++++=stable
exchange ^nn++++=exchange
rates ^nns++++=rates,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
stable ^jj+atrb+++=stable
interest ^nn++++=interest
rates ^nns++++=rates.
. ^zz++++=EXTRAWORD
