These ^dt+dem+++=These
instruments ^nns++++=instruments
include ^vb++++=include
public ^jj+atrb+++=public
sources ^nns++++=sources
of ^in++++=of
funds ^nns++++=funds,
, ^zz++++=EXTRAWORD
as ^cs+sub+++=as
well ^rb++++=well
as ^ql++++=as
internal ^jj+atrb+++=internal
and ^cc+phrs+++=and
external ^jj+atrb+++=external
borrowing ^nvbg+++xvbg+=borrowing.
. ^zz++++=EXTRAWORD
Considering ^vbg+++xvbg+=Considering
these ^dt+dem+++=these
tools ^nns++++=tools,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
can ^md+pos+++=can
be ^vb+be+aux++=be
stated ^vpsv++agls+xvbnx+=stated
that ^tht+vcmp+++=that
controlling ^vbg+++xvbg+=controlling
the ^ati++++=the
government ^nn++++=government
deficit ^nn++++=deficit
has ^vbz+hvz+vrb++=has
the ^ati++++=the
potential ^nn++++=potential
to ^to+ncmp+++=to
increase ^vbi++++=increase
national ^jj+atrb+++=national
income ^nn++++=income,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
may ^md+pos+++=may
subsequently ^rb+tm+splt++=subsequently
encourage ^vb++++=encourage
greater ^jjr+atrb+++=greater
investment ^nn++++=investment
inflows ^nns++++=inflows
into ^in++++=into
the ^ati++++=the
country ^nn++++=country.
. ^zz++++=EXTRAWORD
