Conversely ^rb+cnj+++=Conversely,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
important ^jj+pred+++=important
to ^to+jcmp+++=to
account ^vb++++=account
for ^in+ppvb+++=for
variations ^nns++++=variations
in ^in++++=in
the ^ati++++=the
spread ^nn+++xvbn+=spread
of ^in++++=of
infections ^nns++++=infections
across ^in+pl+++=across
different ^jj+atrb+++=different
countries ^nns++++=countries
on ^in++++=on
a ^at++++=a
global ^jj+atrb+++=global
scale ^nn++++=scale.
. ^zz++++=EXTRAWORD
Figure ^nn++++=Figure
4 ^zz++++=4
illustrates ^vbz+vpub+++=illustrates
the ^ati++++=the
progression ^nn++++=progression
of ^in++++=of
the ^ati++++=the
doubling ^jj+atrb++xvbg+=doubling
time ^nn++++=time
of ^in++++=of
new ^jj+atrb+++=new
coronavirus ^nns+++??+=coronavirus
cases ^nns++++=cases,
, ^zz++++=EXTRAWORD
based ^xvbn+++xvbn+=based
on ^in++++=on
data ^nns++++=data
collected ^vbd+++xvbn+=collected
as ^ql++++=as
of ^in++++=of
april ^nr++++=April
18 ^cd++++=18,
, ^zz++++=EXTRAWORD
2020.27 ^cd++++=2020.27
