Indeterminate ^np+++??+=Indeterminate
Imaging ^np+++??+=Imaging
features ^nns++++=features
that ^tht+rel+subj++=that
are ^vb+ber+vrb++=are
nonspecific ^nn+++??+=nonspecific
and ^cc++++=and
do ^vb+do+aux++=do
not ^xnot++not++=not
correspond ^vb++++=correspond
to ^in++++=to
the ^ati++++=the
typical ^jj+atrb+++=typical
patterns ^nns++++=patterns,
, ^zz++++=EXTRAWORD
such ^abl++++=such
as ^ql++++=as
ground ^nn++++=ground-glass
- ^zz++++=EXTRAWORD
glass ^nn++++=EXTRAWORD
opacities ^nns+++??+=opacities
with ^in++++=with
a ^at++++=a
diffuse ^nn+++??+=diffuse
or ^cc++++=or
central ^jj+atrb+++=central
distribution ^nn++++=distribution
that ^tht+rel+subj++=that
are ^vb+ber+aux++=are
neither ^dt++neg++=neither
rounded ^vprf+++xvbn+=rounded
nor ^cc++neg++=nor
unilateral ^jj++++=unilateral
( ^zz++++=(Figure
figure ^nn++++=EXTRAWORD
2 ^zz++++=2).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
