During ^in++++=During
the ^ati++++=the
current ^jj+atrb+++=current
pandemic ^nn+++??+=pandemic,
, ^zz++++=EXTRAWORD
all ^abn++++=all
patients ^nns++++=patients
admitted ^vwbn+vpub++xvbn+=admitted
to ^in++++=to
emergency ^nn++++=emergency
departments ^nns++++=departments
should ^md+nec+++=should
be ^vb+be+aux++=be
regarded ^vpsv++agls+xvbnx+=regarded
as ^ql++++=as
potential ^jj+atrb+++=potential
carriers ^nns++++=carriers
of ^in++++=of
Covid ^np+++??+=COVID-19
- ^zz++++=EXTRAWORD
19 ^cd++++=EXTRAWORD
until ^cs+sub+++=until
infection ^nn++++=infection
is ^vbz+bez+aux++=is
ruled ^vpsv++agls+xvbnx+=ruled
out ^rp+pl+++=out.
. ^zz++++=EXTRAWORD
Additionally ^np+++??+=Additionally,
, ^zz++++=EXTRAWORD
patients ^nns++++=patients
presenting ^vwbg+++xvbg+=presenting
with ^in++++=with
respiratory ^jj+atrb+++=respiratory
symptoms ^nns++++=symptoms
should ^md+nec+++=should
be ^vb+be+aux++=be
managed ^vpsv++agls+xvbnx+=managed
as ^cs+sub+++=as
suspected ^jj+atrb++xvbn+=suspected
cases ^nns++++=cases
of ^in++++=of
Covid ^np+++??+=COVID-19
- ^zz++++=EXTRAWORD
19 ^cd++++=EXTRAWORD
until ^cs+sub+++=until
a ^at++++=a
definitive ^jj+atrb+++=definitive
diagnosis ^nn++++=diagnosis
is ^vbz+bez+aux++=is
established ^vpsv++agls+xvbnx+=established,
, ^zz++++=EXTRAWORD
given ^vpbn+v++xvbn+=given
the ^ati++++=the
absence ^nn++++=absence
of ^in++++=of
a ^at++++=a
rapid ^jj+atrb+++=rapid
diagnostic ^nn++++=diagnostic
test ^nn++++=test
for ^in++++=for
this ^dt+dem+++=this
condition ^nn++++=condition
at ^rb++++=at
present ^vb++++=present.
. ^zz++++=EXTRAWORD
