All ^abn++++=All
extracts ^nns++++=extracts
tested ^vwbn+++xvbn+=tested
exhibited ^vprf+++xvbn+=exhibited
higher ^jjr+atrb+++=higher
minimum ^nn++++=minimum
inhibitory ^nn+++??+=inhibitory
concentration ^nn++++=concentration
( ^zz++++=(MIC)
mic ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
values ^nns++++=values
against ^in++++=against
the ^ati++++=the
bacteria ^nns++++=bacteria
evaluated ^vwbn+++xvbn+=evaluated
compared ^vbd+++xvbn+=compared
to ^in++++=to
the ^ati++++=the
positive ^jj+atrb+++=positive
control ^nn++++=control,
, ^zz++++=EXTRAWORD
0.12 ^nn+++??+=0.12%
% ^zz++++=EXTRAWORD
chlorhexidine ^nn+++??+=chlorhexidine.
. ^zz++++=EXTRAWORD
As ^in++++=As
noted ^nn++++=noted
by ^in++++=by
Castro ^np++++=Castro
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
( ^zz++++=(2009),
2009 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
this ^dt+dem+++=this
difference ^nn++++=difference
may ^md+pos+++=may
be ^vb+be+aux++=be
attributed ^vpsv++agls+xvbnx+=attributed
to ^in++++=to
the ^ati++++=the
fact ^nn++++=fact
that ^tht+ncmp+++=that
natural ^jj+atrb+++=natural
products ^nns++++=products
contain ^vb++++=contain
bioactive ^jj+atrb++??+=bioactive
compounds ^nns++++=compounds
in ^in++++=in
diluted ^jj+atrb++xvbn+=diluted
forms ^nns++++=forms,
, ^zz++++=EXTRAWORD
whereas ^cs+sub+++=whereas
chlorhexidine ^nn+++??+=chlorhexidine
is ^vbz+bez+vrb++=is
a ^at++++=a
synthetic ^jj+atrb+++=synthetic
agent ^nn++++=agent
with ^in++++=with
a ^at++++=a
higher ^jjr+atrb+++=higher
concentration ^nn++++=concentration
of ^in++++=of
active ^jj+atrb+++=active
ingredients ^nns++++=ingredients.
. ^zz++++=EXTRAWORD
However ^rb+cnj+++=However,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
important ^jj+pred+++=important
to ^to+jcmp+++=to
consider ^vbi+vprv+++=consider
that ^tht+vcmp+++=that
chlorhexidine ^nn+++??+=chlorhexidine
is ^vbz+bez+aux++=is
associated ^vpsv++agls+xvbnx+=associated
with ^in++++=with
adverse ^jj+atrb+++=adverse
effects ^nns++++=effects
that ^tht+rel+subj++=that
restrict ^vb++++=restrict
its ^pp$+it+++=its
duration ^nn++++=duration
of ^in++++=of
use ^nn++++=use.
. ^zz++++=EXTRAWORD
According ^in+cmpx+++=According
to ^in"++++=to
a ^at++++=a
systematic ^jj+atrb+++=systematic
review ^nn++++=review
by ^in++++=by
Haas ^np+++??+=Haas
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
( ^zz++++=(2014),
2014 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
chlorhexidine ^nn+++??+=chlorhexidine
is ^vbz+bez+vrb++=is
effective ^jj+pred+++=effective
in ^in++++=in
reducing ^xvbg+++xvbg+=reducing
biofilm ^nn+++??+=biofilm
and ^cc++++=and
gingivitis ^nns+++??+=gingivitis,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
its ^pp$+it+++=its
application ^nn++++=application
is ^vbz+bez+aux++=is
recommended ^vpsv++agls+xvbnx+=recommended
only ^rb+down+++=only
for ^in++++=for
short ^jj++++=short-term
- ^zz++++=EXTRAWORD
term ^nn++++=EXTRAWORD
treatments ^nns++++=treatments
due ^jj+cmpx+++=due
to ^to+jcmp+++=to
these ^dt+dem+++=these
side ^nn++++=side
effects ^nns++++=effects,
, ^zz++++=EXTRAWORD
making ^vbg+++xvbg+=making
natural ^jj+atrb+++=natural
product ^nn++++=product-based
- ^zz++++=EXTRAWORD
based ^xvbn+++xvbn+=EXTRAWORD
agents ^nns++++=agents
more ^rbr++++=more
appropriate ^jj++++=appropriate
for ^in++++=for
routine ^jj+atrb+++=routine
use ^nn++++=use.
. ^zz++++=EXTRAWORD
Consequently ^rb+cnj+++=Consequently,
, ^zz++++=EXTRAWORD
the ^ati++++=the
hexane ^nn+++??+=hexane
