Several ^ap++++=Several
dental ^jj+atrb+++=dental
procedures ^nns++++=procedures,
, ^zz++++=EXTRAWORD
such ^abl++++=such
as ^ql++++=as
the ^ati++++=the
use ^nn++++=use
of ^in++++=of
high ^jj++++=high-speed
- ^zz++++=EXTRAWORD
speed ^nn++++=EXTRAWORD
handpieces ^nns+++??+=handpieces
or ^cc++++=or
ultrasonic ^jj+atrb+++=ultrasonic
scalers ^nns+++??+=scalers,
, ^zz++++=EXTRAWORD
generate ^vb++++=generate
aerosols ^nns+++??+=aerosols
small ^jj+atrb+++=small
particles ^nns++++=particles
or ^cc++++=or
droplets ^nns++++=droplets
that ^tht+rel+subj++=that
can ^md+pos+++=can
be ^vb+be+aux++=be
inhaled ^vpsv++agls+xvbnx+=inhaled,
, ^zz++++=EXTRAWORD
absorbed ^j+++xvbn+=absorbed
through ^in++++=through
the ^ati++++=the
skin ^nn++++=skin,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
deposited ^vpsv++agls+xvbn+=deposited
on ^in++++=on
nearby ^jjb+atrb+++=nearby
surfaces ^nns++++=surfaces.
. ^zz++++=EXTRAWORD
According ^in+cmpx+++=According
to ^in"++++=to
the ^ati++++=the
most ^ql+emph+++=most
recent ^jj++++=recent
Scientific ^jj++++=Scientific
Brief ^jj++++=Brief
published ^vpsv++by+xvbn+=published
by ^in++++=by
the ^ati++++=the
World ^nn++++=World
Health ^nn++++=Health
Organization ^nn++++=Organization,
, ^zz++++=EXTRAWORD
transmission ^nn++++=transmission
of ^in++++=of
Sars ^np+++??+=SARS-CoV-2
- ^zz++++=EXTRAWORD
cov ^nn+++??+=EXTRAWORD
- ^zz++++=EXTRAWORD
2 ^zz++++=EXTRAWORD
can ^md+pos+++=can
occur ^vb++++=occur
via ^in++++=via
respiratory ^jj+atrb+++=respiratory
droplets ^nns++++=droplets
from ^in++++=from
direct ^jj+atrb+++=direct
contact ^nn++++=contact
with ^in++++=with
an ^at++++=an
infected ^jj+++xvbn+=infected
individual ^jj++++=individual
( ^zz++++=(at
at ^rb++++=EXTRAWORD
a ^at++++=a
distance ^nn++++=distance
of ^in++++=of
less ^rbr++++=less
than ^in++++=than
1 ^zz++++=1
meter ^nn++++=meter),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
indirect ^jj+atrb+++=indirect
contact ^nn++++=contact
with ^in++++=with
contaminated ^jj+atrb++xvbn+=contaminated
surfaces ^nns++++=surfaces
or ^cc++++=or
objects ^nns++++=objects,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
aerosols ^vbz+++??+=aerosols
produced ^vbd+++xvbn+=produced
during ^in++++=during
procedures ^nns++++=procedures
performed ^vwbn+++xvbn+=performed
on ^in++++=on
infected ^xvbn+++xvbn+=infected
patients ^nns++++=patients.
. ^zz++++=EXTRAWORD
Consequently ^rb+cnj+++=Consequently,
, ^zz++++=EXTRAWORD
dental ^jj++++=dental
and ^cc++++=and
health ^nn++++=health
organizations ^nns++++=organizations
have ^vb+hv+aux++=have
recommended ^vprf+++xvbnx+=recommended
postponing ^nn+++??+=postponing
all ^abn++++=all
elective ^nn+++??+=elective
dental ^jj+atrb+++=dental
treatments ^nns++++=treatments
and ^cc++++=and
non ^&fw++++=non-essential
- ^zz++++=EXTRAWORD
essential ^nn++++=EXTRAWORD
procedures ^nns++++=procedures,
, ^zz++++=EXTRAWORD
restricting ^vbg+++xvbg+=restricting
services ^nns++++=services
to ^in++++=to
urgent ^jj++++=urgent
and ^cc++++=and
emergency ^nn++++=emergency
visits ^nns++++=visits
only ^rb+down+++=only.
. ^zz++++=EXTRAWORD
Dental ^jj+atrb+++=Dental
health ^nn++++=health
care ^nn++++=care
personnel ^nns++++=personnel
( ^zz++++=(DHCP)
dhcp ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
should ^md+nec+++=should
be ^vb+be+vrb++=be
knowledgeable ^jj+pred+++=knowledgeable
about ^in++++=about
the ^ati++++=the
mechanisms ^nns++++=mechanisms
of ^in++++=of
transmission ^nn++++=transmission,
, ^zz++++=EXTRAWORD
adhere ^vb++++=adhere
to ^to++++=to
enhanced ^vbi++++=enhanced
infection ^nn++++=infection
control ^nn++++=control
procedures ^nns++++=procedures,
, ^zz++++=EXTRAWORD
be ^vb+be+vrb++=be
able ^jj++pmd"++=able
to ^to+jcmp+pmd++=to
identify ^vb++++=identify
patients ^nns++++=patients
exhibiting ^vwbg+++xvbg+=exhibiting
signs ^nns++++=signs
or ^cc++++=or
symptoms ^nns++++=symptoms
of ^in++++=of
Covid ^np+++??+=COVID-19,
- ^zz++++=EXTRAWORD
19 ^cd++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
clearly ^rb++++=clearly
distinguish ^vb++++=distinguish
between ^in++++=between
dental ^jj+atrb+++=dental
emergencies ^nns+++??+=emergencies,
, ^zz++++=EXTRAWORD
urgent ^jj+atrb+++=urgent
dental ^jj+atrb+++=dental
care ^nn++++=care,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
non ^&fw++++=non-emergency
- ^zz++++=EXTRAWORD
emergency ^nn++++=EXTRAWORD
dental ^jj+atrb+++=dental
treatments ^nns++++=treatments.
. ^zz++++=EXTRAWORD
