If ^cs+cnd+++=If
feasible ^jj++++=feasible,
, ^zz++++=EXTRAWORD
ventilation ^nn++++=ventilation
should ^md+nec+++=should
be ^vb+be+aux++=be
temporarily ^rb++splt++=temporarily
suspended ^vpsv++agls+xvbnx+=suspended
during ^in++++=during
the ^ati++++=the
tracheal ^jj+atrb+++=tracheal
incision ^nn+++??+=incision,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
it ^pp3+it+++=it
should ^md+nec+++=should
be ^vb+be+aux++=be
confirmed ^vpsv++agls+xvbnx+=confirmed
that ^tht+vcmp+++=that
the ^ati++++=the
endotracheal ^nn+++??+=endotracheal
tube ^nn++++=tube
cuff ^nn++++=cuff
is ^vbz+bez+aux++=is
already ^rb++splt++=already
inflated ^vpsv++agls+xvbn+=inflated
prior ^in+cmpx+++=prior
to ^in"++++=to
resuming ^vbg+++xvbg+=resuming
ventilation ^nn++++=ventilation.
. ^zz++++=EXTRAWORD
