When ^wrb+who+++=When
using ^vbg+++xvbg+=using
a ^at++++=a
length ^nn++++=length
interval ^nn++++=interval
of ^in++++=of
28 ^cd++++=28
nucleotides ^nns+++??+=nucleotides,
, ^zz++++=EXTRAWORD
regions ^nns++++=regions
near ^in+pl+++=near
positions ^nns++++=positions
3,500 ^cd++++=3,500
and ^cc++++=and
11,000 ^cd++++=11,000
exhibit ^vb++++=exhibit
elevated ^vbd+++xvbn+=elevated
values ^nns++++=values.
. ^zz++++=EXTRAWORD
Longer ^rbr++++=Longer
sequences ^nns++++=sequences
are ^vb+ber+aux++=are
excluded ^vpsv++agls+xvbnx+=excluded
from ^in++++=from
analysis ^nn++++=analysis
due ^jj+cmpx+++=due
to ^to+jcmp+++=to
the ^ati++++=the
reduced ^jj+atrb++xvbn+=reduced
probability ^nn++++=probability
of ^in++++=of
their ^pp$+pp3+++=their
occurrence ^nn++++=occurrence,
, ^zz++++=EXTRAWORD
which ^whp+rel+obj++=which
results ^nns++++=results
from ^in++++=from
the ^ati++++=the
increasing ^jj+atrb++xvbg+=increasing
number ^nn++++=number
of ^in++++=of
possible ^jj+atrb+++=possible
combinations ^nns++++=combinations
among ^in++++=among
the ^ati++++=the
four ^cd++++=four
nucleotide ^nn++++=nucleotide
types ^nns++++=types.
. ^zz++++=EXTRAWORD
