Table ^nn++++=Table
Ii ^np+++??+=II
presents ^vbz++++=presents
the ^ati++++=the
results ^nns++++=results
of ^in++++=of
the ^ati++++=the
quantitative ^jj+atrb+++=quantitative
phytochemical ^nn+++??+=phytochemical
analysis ^nn++++=analysis
of ^in++++=of
the ^ati++++=the
extract ^nn++++=extract
and ^cc++++=and
fractions ^nns++++=fractions
of ^in++++=of
S ^zz++++=S.
. ^zz++++=EXTRAWORD
brasiliensis ^nns+++??+=brasiliensis
Engl ^np+++??+=Engl.
. ^zz++++=EXTRAWORD
Tannins ^np+++??+=Tannins
were ^vbd+bed+aux++=were
detected ^vpsv++agls+xvbnx+=detected
only ^rb+down+++=only
in ^in++++=in
the ^ati++++=the
ethanolic ^nn+++??+=ethanolic
extract ^nn++++=extract,
, ^zz++++=EXTRAWORD
whereas ^cs+sub+++=whereas
all ^rb++++=all
other ^ap++++=other
fractions ^nns++++=fractions
tested ^vbd+++xvbn+=tested
negative ^jj++++=negative
for ^in++++=for
the ^ati++++=the
presence ^nn++++=presence
of ^in++++=of
tannins ^nns++++=tannins.
. ^zz++++=EXTRAWORD
