Data ^nns++++=Data
Analysis ^nn++++=Analysis
Calculations ^nns++++=Calculations
were ^vbd+bed+aux++=were
performed ^vpsv++agls+xvbnx+=performed
to ^in++++=to
quantify ^nn+++??+=quantify
mortality ^nn++++=mortality
and ^cc++++=and
recruitment ^nn++++=recruitment
rates ^nns++++=rates
within ^in++++=within
the ^ati++++=the
plant ^nn++++=plant
community ^nn++++=community,
, ^zz++++=EXTRAWORD
as ^cs+sub+++=as
well ^rb++++=well
as ^ql++++=as
to ^to++++=to
assess ^vbi++++=assess
growth ^nn++++=growth
rates ^nns++++=rates
and ^cc++++=and
the ^ati++++=the
proportion ^nn++++=proportion
of ^in++++=of
dead ^jj++++=dead
and ^cc+phrs+++=and
recruited ^jj+atrb++xvbn+=recruited
basal ^jj+atrb+++=basal
area ^nn++++=area
for ^in++++=for
individuals ^nns++++=individuals
with ^in++++=with
a ^at++++=a
diameter ^nn++++=diameter
at ^in++++=at
breast ^nn++++=breast
height ^nn++++=height
( ^zz++++=(dbh)
dbh ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
greater ^jjr++++=greater
than ^in++++=than
2.5 ^cd++++=2.5
cm ^nnu++++=cm
over ^in++++=over
a ^at++++=a
6.5 ^cd++++=6.5-year
- ^zz++++=EXTRAWORD
year ^nn++++=EXTRAWORD
period ^nn++++=period
( ^zz++++=(March
march ^nr++++=EXTRAWORD
2006 ^cd++++=2006
to ^in++++=to
September ^nr++++=September
2012 ^cd++++=2012).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Relative ^jj+atrb+++=Relative
growth ^nn++++=growth
rates ^nns++++=rates
and ^cc++++=and
the ^ati++++=the
distribution ^nn++++=distribution
of ^in++++=of
shrub ^nn++++=shrub
and ^cc++++=and
tree ^nn++++=tree
diameters ^nns++++=diameters
were ^vbd+bed+vrb++=were
also ^rb++++=also
analyzed ^nn+++??+=analyzed.
. ^zz++++=EXTRAWORD
For ^in++++=For
basal ^jj+atrb+++=basal
area ^nn++++=area
dynamics ^nn++++=dynamics,
, ^zz++++=EXTRAWORD
recruitment ^nn++++=recruitment
was ^vbd+bedz+aux++=was
defined ^vpsv++agls+xvbnx+=defined
as ^ql++++=as
the ^ati++++=the
sum ^nn++++=sum
of ^in++++=of
the ^ati++++=the
relative ^jj+atrb+++=relative
contribution ^nn++++=contribution
to ^in++++=to
basal ^jj+atrb+++=basal
area ^nn++++=area
from ^in++++=from
individuals ^nns++++=individuals
newly ^rb++++=newly
recruited ^vbd+++xvbn+=recruited
in ^in++++=in
2012 ^cd++++=2012
and ^cc++++=and
the ^ati++++=the
relative ^jj+atrb+++=relative
contribution ^nn++++=contribution
from ^in++++=from
the ^ati++++=the
growth ^nn++++=growth
of ^in++++=of
surviving ^jj+atrb+++=surviving
individuals ^nns++++=individuals
present ^vb++++=present
since ^in++++=since
2006 ^cd++++=2006.
. ^zz++++=EXTRAWORD
