Sodium ^nn++++=Sodium
hypochlorite ^nn++++=hypochlorite
2.5 ^cd++++=2.5%:
% ^zz++++=EXTRAWORD
: ^zz++++=EXTRAWORD
Samples ^nns++++=Samples
were ^vbd+bed+aux++=were
immersed ^vpsv++agls+xvbnx+=immersed
in ^in++++=in
10 ^cd++++=10
ml ^nnu++++=mL
of ^in++++=of
2.5 ^cd++++=2.5%
% ^zz++++=EXTRAWORD
sodium ^nn++++=sodium
hypochlorite ^nn++++=hypochlorite
solution ^nn++++=solution
for ^in++++=for
5 ^zz++++=5
minutes ^nns++++=minutes.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
treatment ^nn++++=treatment
achieved ^vwbn+++xvbn+=achieved
complete ^jj+atrb+++=complete
elimination ^nn++++=elimination
of ^in++++=of
C ^zz++++=C.
. ^zz++++=EXTRAWORD
albicans ^nns+++??+=albicans
contamination ^nn++++=contamination,
, ^zz++++=EXTRAWORD
resulting ^vbg+++xvbg+=resulting
in ^in++++=in
a ^at++++=a
100 ^cd++++=100%
% ^zz++++=EXTRAWORD
reduction ^nn++++=reduction
in ^in++++=in
viable ^jj+atrb+++=viable
organisms ^nns++++=organisms
[ ^zz++++=[8].
8 ^zz++++=EXTRAWORD
]. ^nn++++=EXTRAWORD
