Laryngoscopy ^np+++??+=Laryngoscopy,
, ^zz++++=EXTRAWORD
tracheal ^jj+atrb+++=tracheal
intubation ^nn+++??+=intubation,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
bronchoscopy ^nn+++??+=bronchoscopy
are ^vb+ber+aux++=are
associated ^vpsv++agls+xvbnx+=associated
with ^in++++=with
aerosol ^nn+++??+=aerosol
generation ^nn++++=generation
primarily ^rb+down+++=primarily
when ^wrb+who+++=when
they ^pp3a+pp3+++=they
induce ^vb++++=induce
a ^at++++=a
cough ^nn++++=cough
or ^cc++++=or
are ^vb+ber+aux++=are
accompanied ^vpsv++by+xvbnx+=accompanied
by ^in++++=by
other ^ap++++=other
aerosol ^nn+++??+=aerosol-generating
- ^zz++++=EXTRAWORD
generating ^vbg+++xvbg+=EXTRAWORD
procedures ^nns++++=procedures,
, ^zz++++=EXTRAWORD
such ^abl++++=such
as ^ql++++=as
aspiration ^nn++++=aspiration.
. ^zz++++=EXTRAWORD
The ^ati++++=The
likelihood ^nn++++=likelihood
of ^in++++=of
aerosol ^nn+++??+=aerosol
production ^nn++++=production
during ^in++++=during
these ^dt+dem+++=these
interventions ^nns++++=interventions
can ^md+pos+++=can
be ^vb+be+aux++=be
reduced ^vpsv++by+xvbnx+=reduced
by ^in++++=by
ensuring ^xvbg+++xvbg+=ensuring
adequate ^jj+atrb+++=adequate
neuromuscular ^nn+++??+=neuromuscular
blockade ^nn++++=blockade
and ^cc++++=and
by ^in++++=by
avoiding ^vbg+++xvbg+=avoiding
the ^ati++++=the
simultaneous ^jj+atrb+++=simultaneous
performance ^nn++++=performance
of ^in++++=of
multiple ^jj+atrb+++=multiple
procedures ^nns++++=procedures.
. ^zz++++=EXTRAWORD
