Prior ^jj++++=Prior
to ^to++++=to
proceeding ^vbi++++=proceeding
to ^in++++=to
the ^ati++++=the
operating ^jj+atrb++xvbg+=operating
room ^nn++++=room,
, ^zz++++=EXTRAWORD
several ^ap++++=several
factors ^nns++++=factors
should ^md+nec+++=should
be ^vb+be+aux++=be
evaluated ^vpsv++agls+xvbnx+=evaluated,
, ^zz++++=EXTRAWORD
including ^in++++=including
the ^ati++++=the
local ^jj+atrb+++=local
risk ^nn++++=risk
of ^in++++=of
Sars ^np+++??+=SARS-CoV-2
- ^zz++++=EXTRAWORD
cov ^nn+++??+=EXTRAWORD
- ^zz++++=EXTRAWORD
2 ^zz++++=EXTRAWORD
infection ^nn++++=infection,
, ^zz++++=EXTRAWORD
anticipated ^j+++xvbn+=anticipated
length ^rb++++=length
of ^in++++=of
hospital ^npl++++=hospital
stay ^vb++++=stay,
, ^zz++++=EXTRAWORD
potential ^jj+atrb+++=potential
surgical ^jj+atrb+++=surgical
complications ^nns++++=complications,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
presence ^nn++++=presence
of ^in++++=of
clinical ^jj+atrb+++=clinical
comorbidities ^nns+++??+=comorbidities
that ^tht+rel+obj++=that
may ^md+pos+++=may
increase ^vb++++=increase
morbidity ^nn+++??+=morbidity
or ^cc++++=or
mortality ^nn++++=mortality.
. ^zz++++=EXTRAWORD
If ^cs+cnd+++=If
surgical ^jj+atrb+++=surgical
intervention ^nn++++=intervention
is ^vbz+bez+aux++=is
determined ^jj++agls+xvbnx+=determined
to ^to+jcmp+++=to
be ^vbi++vrb++=be
necessary ^jj+pred+++=necessary,
, ^zz++++=EXTRAWORD
informed ^jj+atrb++xvbn+=informed
consent ^nn++++=consent
must ^md+nec+++=must
be ^vb+be+aux++=be
obtained ^vpsv++agls+xvbnx+=obtained,
, ^zz++++=EXTRAWORD
explicitly ^rb++++=explicitly
addressing ^vbg+++xvbg+=addressing
the ^ati++++=the
risk ^nn++++=risk
of ^in++++=of
Sars ^np+++??+=SARS-CoV-2
- ^zz++++=EXTRAWORD
cov ^nn+++??+=EXTRAWORD
- ^zz++++=EXTRAWORD
2 ^zz++++=EXTRAWORD
infection ^nn++++=infection.
. ^zz++++=EXTRAWORD
Preoperative ^np+++??+=Preoperative
testing ^vwbg+++xvbg+=testing
for ^in++++=for
Covid ^np+++??+=COVID-19
- ^zz++++=EXTRAWORD
19 ^cd++++=EXTRAWORD
is ^vbz+bez+aux++=is
recommended ^vpsv++agls+xvbnx+=recommended
for ^in++++=for
all ^rb++++=all
surgical ^jj+atrb+++=surgical
patients ^nns++++=patients;
; ^zz++++=EXTRAWORD
however ^rb+cnj+++=however,
, ^zz++++=EXTRAWORD
in ^in++++=in
our ^pp$+pp1+++=our
institution ^nn++++=institution,
, ^zz++++=EXTRAWORD
testing ^nn++++=testing
is ^vbz+bez+vrb++=is
currently ^rb++++=currently
limited ^jj+pred+++=limited
to ^in++++=to
symptomatic ^jj+atrb+++=symptomatic
individuals ^nns++++=individuals.
. ^zz++++=EXTRAWORD
