Studies ^nns++++=Studies
related ^vbd+++xvbn+=related
to ^in++++=to
pacifier ^nn+++??+=pacifier
disinfection ^nn+++??+=disinfection
published ^vbd+++xvbn+=published
between ^in++++=between
January ^nr++++=January
1999 ^cd+date+++=1999
and ^cc++++=and
October ^nr++++=October
2019 ^cd++++=2019
were ^vbd+bed+aux++=were
considered ^vpsv++agls+xvbnx+=considered
eligible ^jj++++=eligible
for ^in++++=for
inclusion ^nn++++=inclusion,
, ^zz++++=EXTRAWORD
with ^in++++=with
no ^at++++=no
language ^nn++++=language
restrictions ^nns++++=restrictions
applied ^vwbn+++xvbn+=applied.
. ^zz++++=EXTRAWORD
The ^ati++++=The
inclusion ^nn++++=inclusion
criteria ^nns++++=criteria
required ^vbd+++xvbn+=required
studies ^nns++++=studies
to ^in++++=to
analyze ^jj+atrb++??+=analyze
different ^jj+atrb+++=different
types ^nns++++=types
of ^in++++=of
pacifier ^nn+++??+=pacifier
disinfection ^nn+++??+=disinfection,
, ^zz++++=EXTRAWORD
regardless ^rb++++=regardless
of ^in++++=of
the ^ati++++=the
specific ^jj+atrb+++=specific
method ^nn++++=method
used ^vwbn+++xvbn+=used,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
to ^to++++=to
include ^vbi++++=include
at ^in++++=at
least ^ql++++=least
one ^cd1++++=one
comparative ^jj+atrb+++=comparative
group ^nn++++=group.
. ^zz++++=EXTRAWORD
Exclusion ^nn++++=Exclusion
criteria ^nns++++=criteria
were ^vbd+bed+aux++=were
as ^ql++++=as
follows ^vbz+vprv+++=follows:
: ^zz++++=EXTRAWORD
( ^zz++++=(1)
1 ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
studies ^nns++++=studies
that ^tht+rel+subj++=that
addressed ^xvbn+++xvbn+=addressed
topics ^nns++++=topics
unrelated ^jj++++=unrelated
to ^in++++=to
pacifier ^nn+++??+=pacifier
disinfection ^nn+++??+=disinfection;
; ^zz++++=EXTRAWORD
( ^zz++++=(2)
2 ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
studies ^nns++++=studies
that ^tht+rel+subj++=that
focused ^vbd+++xvbn+=focused
solely ^rb++++=solely
on ^in++++=on
pacifier ^nn+++??+=pacifier
contamination ^nn++++=contamination
and ^cc++++=and/or
biofilm ^jj+atrb++??+=biofilm
formation ^nn++++=formation
without ^in++++=without
evaluating ^nn+++??+=evaluating
disinfection ^nn+++??+=disinfection
methods ^nns++++=methods;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
( ^zz++++=(3)
3 ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
duplicate ^vb++++=duplicate
studies ^nns++++=studies.
. ^zz++++=EXTRAWORD
