Demographic ^np+++??+=Demographic
data ^nns++++=data
were ^vbd+bed+aux++=were
extracted ^vpsv++agls+xvbnx+=extracted
from ^in++++=from
the ^ati++++=the
blood ^nn++++=blood
center ^nn+++??+=center
s ^zz++++=s
donor ^nn++++=donor
management ^nn++++=management
software ^nn+++??+=software
( ^zz++++=(SACS)
sacs ^nns+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
using ^xvbg+++xvbg+=using
coded ^vbd+++xvbn+=coded
identifiers ^nns+++??+=identifiers
to ^to++++=to
ensure ^vbi+vprv+++=ensure
donor ^nn++++=donor
anonymity ^nn++++=anonymity.
. ^zz++++=EXTRAWORD
The ^ati++++=The
study ^nn++++=study
population ^nn++++=population
comprised ^vbd+++xvbn+=comprised
all ^abn++++=all
individuals ^nns++++=individuals
who ^whp+rel+subj++=who
donated ^vwbn+++xvbn+=donated
blood ^nn++++=blood
at ^in++++=at
hemorio ^np++++=Hemorio
between ^in++++=between
april ^nr++++=April
14 ^cd++++=14
and ^cc++++=and
april ^nr++++=April
27 ^cd++++=27.
. ^zz++++=EXTRAWORD
