Recent ^jj+atrb+++=Recent
policy ^nn++++=policy
initiatives ^nns+++??+=initiatives
have ^vb+hv+aux++=have
primarily ^rb+down+splt++=primarily
focused ^vprf+++xvbnx+=focused
on ^in++++=on
strategies ^nns+++??+=strategies
to ^to++++=to
enhance ^vbi++++=enhance
investment ^nn++++=investment
inflows ^nns++++=inflows;
; ^zz++++=EXTRAWORD
however ^rb+cnj+++=however,
, ^zz++++=EXTRAWORD
the ^ati++++=the
specific ^jj+atrb+++=specific
factors ^nns++++=factors
that ^tht+rel+subj++=that
determine ^vb++++=determine
the ^ati++++=the
level ^nn++++=level
of ^in++++=of
investment ^nn++++=investment
inflow ^nn++++=inflow
in ^in++++=in
an ^at++++=an
economy ^nn++++=economy
remain ^vb++++=remain
insufficiently ^rb++++=insufficiently
understood ^vpsv++agls+xvbn+=understood.
. ^zz++++=EXTRAWORD
