When ^wrb+who+++=When
using ^jj+++xvbg+=using
N95 ^np+++??+=N95
or ^cc++++=or
Pff2 ^np+++??+=PFF2
respirators ^nns+++??+=respirators,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
essential ^jj++++=essential
to ^to+jcmp+++=to
ensure ^vbi+vprv+++=ensure
that ^tht+vcmp+++=that
the ^ati++++=the
equipment ^nn++++=equipment
is ^vbz+bez+aux++=is
properly ^rb++splt++=properly
fitted ^vpsv++agls+xvbnx+=fitted
to ^in++++=to
the ^ati++++=the
user ^nn++++=user's
's ^$++++=EXTRAWORD
face ^nn++++=face.
. ^zz++++=EXTRAWORD
The ^ati++++=The
use ^nn++++=use,
, ^zz++++=EXTRAWORD
handling ^nvbg+++xvbg+=handling,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
storage ^nn++++=storage
of ^in++++=of
these ^dt+dem+++=these
respirators ^nns+++??+=respirators
must ^md+nec+++=must
strictly ^rb++splt++=strictly
adhere ^vb++++=adhere
to ^in++++=to
the ^ati++++=the
manufacturer ^nn++++=manufacturer's
's ^$++++=EXTRAWORD
instructions ^nns++++=instructions,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
equipment ^nn++++=equipment
must ^md+nec+++=must
not ^xnot++not++=not
be ^vb+be+aux++=be
shared ^vpsv++agls+xvbnx+=shared
among ^in++++=among
professionals ^nns++++=professionals.
. ^zz++++=EXTRAWORD
Prior ^jj++++=Prior
to ^to++++=to
use ^vbi++++=use,
, ^zz++++=EXTRAWORD
all ^abn++++=all
components ^nns++++=components,
, ^zz++++=EXTRAWORD
including ^in++++=including
the ^ati++++=the
straps ^nns++++=straps
and ^cc++++=and
the ^ati++++=the
material ^nn++++=material
of ^in++++=of
the ^ati++++=the
nasal ^jj+atrb+++=nasal
bridge ^nn++++=bridge,
, ^zz++++=EXTRAWORD
should ^md+nec+++=should
be ^vb+be+aux++=be
inspected ^vpsv++agls+xvbnx+=inspected
to ^to++++=to
confirm ^vbi+vpub+++=confirm
their ^pp$+pp3+++=their
integrity ^nn++++=integrity
and ^cc++++=and
ensure ^vb+vprv+++=ensure
an ^at++++=an
adequate ^jj+atrb+++=adequate
seal ^nn++++=seal;
; ^zz++++=EXTRAWORD
respirators ^nns+++??+=respirators
that ^tht+rel+subj++=that
are ^vb+ber+vrb++=are
damp ^nn++++=damp,
, ^zz++++=EXTRAWORD
dirty ^jj++++=dirty,
, ^zz++++=EXTRAWORD
torn ^j+++xvbn+=torn,
, ^zz++++=EXTRAWORD
dented ^xvbn+++xvbn+=dented,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
creased ^vwbn+++xvbn+=creased
must ^md+nec+++=must
not ^xnot++not++=not
be ^vb+be+aux++=be
used ^vpsv++agls+xvbnx+=used.
. ^zz++++=EXTRAWORD
Additionally ^np+++??+=Additionally,
, ^zz++++=EXTRAWORD
surgical ^jj++++=surgical
masks ^vbz++++=masks
should ^md+nec+++=should
not ^xnot++not++=not
be ^vb+be+aux++=be
worn ^vpsv++agls+xvbnx+=worn
over ^in++++=over
N95 ^np+++??+=N95
or ^cc++++=or
equivalent ^jj+atrb+++=equivalent
respirators ^nns+++??+=respirators,
, ^zz++++=EXTRAWORD
as ^ql++++=as
this ^dt+dem+++=this
practice ^nn++++=practice
does ^vbz+doz+aux++=does
not ^xnot++not++=not
enhance ^vb++++=enhance
filtration ^nn++++=filtration
or ^cc++++=or
protection ^nn++++=protection
against ^in++++=against
contamination ^nn++++=contamination
and ^cc++++=and
may ^md+pos+++=may
result ^vb++++=result
in ^in++++=in
unnecessary ^jj+atrb+++=unnecessary
consumption ^nn++++=consumption
of ^in++++=of
additional ^jj+atrb+++=additional
personal ^jj+atrb+++=personal
protective ^jj+atrb+++=protective
equipment ^nn++++=equipment
( ^zz++++=(PPE),
ppe ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
is ^vbz+bez+vrb++=is
particularly ^rb++++=particularly
problematic ^nn+++??+=problematic
during ^in++++=during
periods ^nns++++=periods
of ^in++++=of
supply ^nn++++=supply
shortage ^nn++++=shortage.
. ^zz++++=EXTRAWORD
In ^in++++=In
exceptional ^jj+atrb+++=exceptional
circumstances ^nns++++=circumstances,
, ^zz++++=EXTRAWORD
such ^abl++++=such
as ^ql++++=as
supply ^vb++++=supply
shortages ^nns++++=shortages
during ^in++++=during
the ^ati++++=the
Covid ^np+++??+=COVID-19
- ^zz++++=EXTRAWORD
19 ^cd++++=EXTRAWORD
pandemic ^nn+++??+=pandemic,
, ^zz++++=EXTRAWORD
N95 ^np+++??+=N95
or ^cc++++=or
equivalent ^jj+atrb+++=equivalent
respirators ^nns+++??+=respirators
may ^md+pos+++=may
be ^vb+be+vrb++=be
reused ^nn+++??+=reused
by ^in++++=by
the ^ati++++=the
same ^ap++++=same
professional ^nn++++=professional,
, ^zz++++=EXTRAWORD
provided ^j+++xvbn+=provided
that ^dt+dem+++=that
appropriate ^jj+atrb+++=appropriate
procedures ^nns++++=procedures
are ^vb+ber+aux++=are
followed ^vpsv++agls+xvbnx+=followed
to ^to++++=to
remove ^vbi++++=remove
the ^ati++++=the
mask ^nn++++=mask
without ^in++++=without
self ^nn++++=self-contamination.
- ^zz++++=EXTRAWORD
contamination ^nn++++=EXTRAWORD
. ^zz++++=EXTRAWORD
To ^in++++=To
further ^jjb++++=further
reduce ^vb++++=reduce
the ^ati++++=the
risk ^nn++++=risk
of ^in++++=of
contamination ^nn++++=contamination,
, ^zz++++=EXTRAWORD
the ^ati++++=the
use ^nn++++=use
of ^in++++=of
a ^at++++=a
face ^nn++++=face
shield ^nn++++=shield
over ^in++++=over
the ^ati++++=the
respirator ^nn+++??+=respirator
is ^vbz+bez+aux++=is
recommended ^vpsv++agls+xvbnx+=recommended
when ^wrb+who+whcl++=when
available ^jj++++=available.
. ^zz++++=EXTRAWORD
If ^cs+cnd+++=If
the ^ati++++=the
respirator ^nn+++??+=respirator
remains ^nns++++=remains
intact ^jj++++=intact,
, ^zz++++=EXTRAWORD
clean ^jj++++=clean,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
dry ^jj++++=dry,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
may ^md+pos+++=may
be ^vb+be+aux++=be
used ^vpsv++agls+xvbnx+=used
multiple ^jj+atrb+++=multiple
times ^nns++++=times
within ^in++++=within
the ^ati++++=the
same ^ap++++=same
shift ^nn++++=shift
by ^in++++=by
the ^ati++++=the
same ^ap++++=same
professional ^nn++++=professional,
, ^zz++++=EXTRAWORD
for ^in++++=for
up ^rp++++=up
to ^to++++=to
12 ^cd++++=12
hours ^nns++++=hours
or ^cc++++=or
