Tracheal ^np+++??+=Tracheal
intubation ^nn+++??+=intubation
( ^zz++++=(TI)
ti ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
should ^md+nec+++=should
be ^vb+be+aux++=be
considered ^vpsv++agls+xvbnx+=considered
the ^ati++++=the
primary ^jj+atrb+++=primary
method ^nn++++=method
for ^in++++=for
airway ^nn++++=airway
management ^nn++++=management,
, ^zz++++=EXTRAWORD
with ^in++++=with
surgical ^jj+atrb+++=surgical
airway ^nn++++=airway
techniques ^nns++++=techniques
reserved ^vbd+++xvbn+=reserved
for ^in++++=for
situations ^nns++++=situations
where ^wrb+who+++=where
Ti ^np+++??+=TI
is ^vbz+bez+vrb++=is
unsuccessful ^jj+pred+++=unsuccessful
or ^cc++++=or
contraindicated ^nn+++??+=contraindicated.
. ^zz++++=EXTRAWORD
Adherence ^nn++++=Adherence
to ^to++++=to
established ^vbn+vprv++xvbn+=established
guidelines ^nns+++??+=guidelines
for ^in++++=for
the ^ati++++=the
management ^nn++++=management
of ^in++++=of
difficult ^jj+atrb+++=difficult
airways ^nns++++=airways
is ^vbz+bez+aux++=is
recommended ^vpsv++agls+xvbnx+=recommended
to ^in++++=to
minimize ^nn+++??+=minimize
unnecessary ^jj+atrb+++=unnecessary
or ^cc+phrs+++=or
premature ^jj+atrb+++=premature
use ^nn++++=use
of ^in++++=of
surgical ^jj+atrb+++=surgical
airway ^nn++++=airway
interventions ^nns++++=interventions.
. ^zz++++=EXTRAWORD
