Intraoral ^np+++??+=Intraoral
radiographs ^nns+++??+=radiographs
should ^md+nec+++=should
be ^vb+be+aux++=be
avoided ^vpsv++agls+xvbnx+=avoided
due ^jj+cmpx+++=due
to ^to+jcmp+++=to
the ^ati++++=the
potential ^nn++++=potential
to ^to+ncmp+++=to
induce ^vbi++++=induce
coughing ^nn++++=coughing.
. ^zz++++=EXTRAWORD
The ^ati++++=The
presence ^nn++++=presence
in ^in++++=in
the ^ati++++=the
office ^nn++++=office
should ^md+nec+++=should
be ^vb+be+aux++=be
restricted ^vpsv++agls+xvbnx+=restricted
to ^in++++=to
the ^ati++++=the
patient ^nn++++=patient,
, ^zz++++=EXTRAWORD
the ^ati++++=the
operator ^nn++++=operator,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
dental ^jj+atrb+++=dental
assistant ^nn++++=assistant.
. ^zz++++=EXTRAWORD
Following ^jj+atrb++xvbg+=Following
treatment ^nn++++=treatment,
, ^zz++++=EXTRAWORD
dental ^jj+atrb+++=dental
care ^nn++++=care
health ^nn++++=health
professionals ^nns++++=professionals
should ^md+nec+++=should
wear ^vb++++=wear
appropriate ^jj+atrb+++=appropriate
personal ^jj+atrb+++=personal
protective ^jj+atrb+++=protective
equipment ^nn++++=equipment
( ^zz++++=(PPE)
ppe ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
while ^cs+sub+++=while
cleaning ^nvbg+++xvbg+=cleaning
and ^cc++++=and
disinfecting ^nn+++??+=disinfecting
the ^ati++++=the
room ^nn++++=room
and ^cc++++=and
equipment ^nn++++=equipment,
, ^zz++++=EXTRAWORD
utilizing ^jj+atrb++??+=utilizing
recommended ^jj+atrb++xvbn+=recommended
disinfectant ^jj+atrb+++=disinfectant
products ^nns++++=products.
. ^zz++++=EXTRAWORD
Additionally ^np+++??+=Additionally,
, ^zz++++=EXTRAWORD
dentists ^nns++++=dentists
should ^md+nec+++=should
reconsider ^vb+++??+=reconsider
the ^ati++++=the
use ^nn++++=use
of ^in++++=of
sedation ^nn+++??+=sedation,
, ^zz++++=EXTRAWORD
both ^abx++++=both
inhalation ^nn++++=inhalation
and ^cc++++=and
pharmacological ^jj++++=pharmacological,
, ^zz++++=EXTRAWORD
for ^in++++=for
managing ^xvbg+++xvbg+=managing
severe ^jj+atrb+++=severe
anxiety ^nn++++=anxiety
or ^cc++++=or
phobia ^nn+++??+=phobia
in ^in++++=in
dental ^jj+atrb+++=dental
settings ^nns++++=settings,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
instead ^rb+cnj+++=instead
prioritize ^jj+++??+=prioritize
non ^&fw++++=non-pharmacological
- ^zz++++=EXTRAWORD
pharmacological ^jj+atrb+++=EXTRAWORD
techniques ^nns++++=techniques
to ^to++++=to
reduce ^vbi++++=reduce
the ^ati++++=the
risk ^nn++++=risk
of ^in++++=of
requiring ^xvbg+++xvbg+=requiring
life ^nn++++=life
support ^nn++++=support
measures ^nns++++=measures
that ^tht+rel+obj++=that
may ^md+pos+++=may
involve ^vb++++=involve
airway ^nn++++=airway
manipulation ^nn++++=manipulation
and ^cc++++=and
aerosol ^jj+atrb+++=aerosol
generation ^nn++++=generation.
. ^zz++++=EXTRAWORD
