Data ^nns++++=Data
sampling ^nn++++=sampling
was ^vbd+bedz+aux++=was
conducted ^vpsv++agls+xvbnx+=conducted
monthly ^jj++++=monthly
over ^in++++=over
a ^at++++=a
20 ^cd++++=20-year
- ^zz++++=EXTRAWORD
year ^nn++++=EXTRAWORD
period ^nn++++=period
( ^zz++++=(1997
1997 ^cd+date+++=EXTRAWORD
2017 ^cd++++=2017),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
consistently ^rb++++=consistently
in ^in++++=in
the ^ati++++=the
morning ^nn++++=morning
at ^in++++=at
the ^ati++++=the
deepest ^jjt+atrb+++=deepest
site ^nn++++=site
of ^in++++=of
the ^ati++++=the
reservoir ^nn++++=reservoir.
. ^zz++++=EXTRAWORD
Water ^nn++++=Water
samples ^nns++++=samples
were ^vbd+bed+aux++=were
collected ^vpsv++agls+xvbnx+=collected
using ^vbg+++xvbg+=using
a ^at++++=a
Van ^&fw++++=Van
Dorn ^np+++??+=Dorn
sampler ^nn+++??+=sampler
and ^cc++++=and
transferred ^vpsv++agls+xvbn+=transferred
to ^in++++=to
acid ^nn++++=acid-rinsed
- ^zz++++=EXTRAWORD
rinsed ^xvbn+++xvbn+=EXTRAWORD
bottles ^nns++++=bottles.
. ^zz++++=EXTRAWORD
Water ^nn++++=Water
transparency ^nn++++=transparency
was ^vbd+bedz+aux++=was
measured ^vpsv++agls+xvbnx+=measured
with ^in++++=with
a ^at++++=a
Secchi ^np+++??+=Secchi
disk ^nn+++??+=disk,
, ^zz++++=EXTRAWORD
total ^jj+atrb+++=total
phosphorus ^nns+++??+=phosphorus
( ^zz++++=(TP)
tp ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
concentration ^nn++++=concentration
was ^vbd+bedz+aux++=was
determined ^vpsv++agls+xvbnx+=determined
following ^jj+++xvbg+=following
the ^ati++++=the
method ^nn++++=method
of ^in++++=of
Valderrama ^np+++??+=Valderrama
( ^zz++++=(1981),
1981 ^cd+date+++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
chlorophyll ^nn+++??+=chlorophyll-a
- ^zz++++=EXTRAWORD
a ^at++++=EXTRAWORD
concentration ^nn++++=concentration,
, ^zz++++=EXTRAWORD
corrected ^xvbn+++xvbn+=corrected
for ^in++++=for
pheophytin ^nn+++??+=pheophytin,
, ^zz++++=EXTRAWORD
was ^vbd+bedz+aux++=was
measured ^vpsv++agls+xvbnx+=measured
using ^vbg+++xvbg+=using
90 ^cd++++=90%
% ^zz++++=EXTRAWORD
ethanol ^nn++++=ethanol
as ^ql++++=as
described ^vbd+++xvbn+=described
by ^in++++=by
sartory ^np++++=Sartory
and ^cc++++=and
grobbelaar ^np++++=Grobbelaar
( ^zz++++=(1984).
1984 ^cd+date+++=EXTRAWORD
). ^nn++++=EXTRAWORD
