It ^pp3+it+++=It
is ^vbz+bez+vrb++=is
essential ^nn++++=essential
for ^in++++=for
dentists ^nns++++=dentists,
, ^zz++++=EXTRAWORD
as ^in++++=as
health ^nn++++=health
professionals ^nns++++=professionals,
, ^zz++++=EXTRAWORD
to ^to++++=to
be ^vbi+vbi+aux++=be
informed ^vpsv++agls+xvbnx+=informed
about ^in++++=about
the ^ati++++=the
biological ^jj+atrb+++=biological
and ^cc+phrs+++=and
social ^jj+atrb+++=social
factors ^nns++++=factors
associated ^vbd+++xvbn+=associated
with ^in++++=with
the ^ati++++=the
Covid ^np+++??+=COVID-19
- ^zz++++=EXTRAWORD
19 ^cd++++=EXTRAWORD
pandemic ^nn+++??+=pandemic
in ^in++++=in
order ^vb++++=order
to ^to+vcmp+++=to
effectively ^rb++splt++=effectively
educate ^vbi++++=educate
the ^ati++++=the
public ^nn++++=public
and ^cc++++=and
implement ^vb++++=implement
optimal ^jj+atrb+++=optimal
clinical ^jj+atrb+++=clinical
protocols ^nns++++=protocols
that ^tht+rel+obj++=that
minimize ^nn+++??+=minimize
the ^ati++++=the
risk ^nn++++=risk
of ^in++++=of
perioperative ^nn+++??+=perioperative
transmission ^nn++++=transmission.
. ^zz++++=EXTRAWORD
Based ^xvbn+++xvbn+=Based
on ^in++++=on
the ^ati++++=the
current ^jj+atrb+++=current
evidence ^nn++++=evidence
regarding ^in++++=regarding
oral ^jj+atrb+++=oral
health ^nn++++=health
care ^nn++++=care,
, ^zz++++=EXTRAWORD
the ^ati++++=the
objective ^nn++++=objective
of ^in++++=of
this ^dt+dem+++=this
critical ^jj+atrb+++=critical
appraisal ^nn++++=appraisal
is ^vbz+bez+aux++=is
to ^to++++=to
summarize ^vbi++++=summarize
prevention ^nn++++=prevention
strategies ^nns+++??+=strategies
for ^in++++=for
dental ^jj+atrb+++=dental
professionals ^nns++++=professionals
and ^cc++++=and
provide ^vb+vsua+++=provide
an ^at++++=an
overview ^nn+++??+=overview
of ^in++++=of
the ^ati++++=the
virus ^nn++++=virus
s ^zz++++=s
history ^nn++++=history,
, ^zz++++=EXTRAWORD
pathogenesis ^nns+++??+=pathogenesis,
, ^zz++++=EXTRAWORD
ongoing ^nn+++??+=ongoing
pharmacological ^jj+atrb+++=pharmacological
clinical ^jj+atrb+++=clinical
trials ^nns++++=trials,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
approaches ^nns++++=approaches
to ^to++++=to
mitigate ^vbi++++=mitigate
the ^ati++++=the
economic ^jj++++=economic
and ^cc++++=and
health ^nn++++=health
impacts ^nns++++=impacts
on ^in++++=on
the ^ati++++=the
oral ^jj+atrb+++=oral
health ^nn++++=health
care ^nn++++=care
system ^nn++++=system.
. ^zz++++=EXTRAWORD
