Boiling ^nvbg+++xvbg+=Boiling
water ^nn++++=water
for ^in++++=for
15 ^cd++++=15
minutes ^nns++++=minutes
has ^vbz+hvz+aux++=has
been ^vprf+ben+aux+xvbnx+=been
shown ^vpsv++agls+xvbnx+=shown
to ^to+vcmp+++=to
effectively ^rb++splt++=effectively
eliminate ^vbi++++=eliminate
C ^zz++++=C.
. ^zz++++=EXTRAWORD
albicans ^nns+++??+=albicans
contamination ^nn++++=contamination,
, ^zz++++=EXTRAWORD
achieving ^jj+++xvbg+=achieving
a ^at++++=a
100 ^cd++++=100%
% ^zz++++=EXTRAWORD
reduction ^nn++++=reduction
[ ^zz++++=[8].
8 ^zz++++=EXTRAWORD
] ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Similar ^jj+atrb+++=Similar
results ^nns++++=results
have ^vb+hv+aux++=have
been ^vprf+ben+aux+xvbnx+=been
reported ^vpsv++by+xvbnx+=reported
by ^in++++=by
other ^ap++++=other
studies ^nns++++=studies,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
found ^vprf+++xvbn+=found
that ^tht+vcmp+++=that
five ^cd++++=five
minutes ^nns++++=minutes
of ^in++++=of
boiling ^xvbg+++xvbg+=boiling
was ^vbd+bedz+vrb++=was
sufficient ^jj+pred+++=sufficient
to ^in+jcmp+++=to
disinfect ^vb+++??+=disinfect
pacifiers ^nns+++??+=pacifiers
contaminated ^vbd+++xvbn+=contaminated
with ^in++++=with
S ^zz++++=S.
. ^zz++++=EXTRAWORD
mutans ^nns+++??+=mutans
and ^cc++++=and
C ^zz++++=C.
. ^zz++++=EXTRAWORD
albicans ^nns+++??+=albicans
[ ^zz++++=[15].
15 ^cd++++=EXTRAWORD
] ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Additionally ^np+++??+=Additionally,
, ^zz++++=EXTRAWORD
some ^dti++++=some
authors ^nns++++=authors
recommend ^vb+vsua+++=recommend
boiling ^nvbg+++xvbg+=boiling
pacifiers ^nns+++??+=pacifiers
for ^in++++=for
15 ^cd++++=15
minutes ^nns++++=minutes
to ^to++++=to
ensure ^vbi+vprv+++=ensure
the ^ati++++=the
removal ^nn++++=removal
of ^in++++=of
cariogenic ^nn++++=cariogenic
microorganisms ^nns++++=microorganisms
[ ^zz++++=[10].
10 ^cd++++=EXTRAWORD
]. ^nn++++=EXTRAWORD
