Table ^nn++++=Table
I ^pp1a+pp1+++=I
shows ^vbz+vprv+++=shows
that ^tht+vcmp+++=that
all ^abn++++=all
tested ^jj+atrb++xvbn+=tested
samples ^nns++++=samples
exhibited ^vbd+++xvbn+=exhibited
a ^at++++=a
minimum ^jj+atrb+++=minimum
inhibitory ^nn+++??+=inhibitory
concentration ^nn++++=concentration
sufficient ^jj++++=sufficient
to ^to+jcmp+++=to
prevent ^vbi++++=prevent
the ^ati++++=the
growth ^nn++++=growth
of ^in++++=of
microorganisms ^nns+++??+=microorganisms,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
none ^rb++++=none
of ^in++++=of
the ^ati++++=the
samples ^nns++++=samples
demonstrated ^vpsv++agls+xvbn+=demonstrated
cytotoxicity ^nn++++=cytotoxicity.
. ^zz++++=EXTRAWORD
