Previous ^jj+atrb+++=Previous
studies ^nns++++=studies
reported ^vbd+vpub++xvbn+=reported
high ^np++++=high
sensitivity ^nn++++=sensitivity
( ^zz++++=(97%)
97 ^cd++++=EXTRAWORD
% ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
and ^cc++++=and
low ^jj++++=low
to ^in++++=to
moderate ^jj+atrb+++=moderate
specificity ^nn++++=specificity
( ^zz++++=(25
25 ^cd++++=EXTRAWORD
56 ^cd++++=56%)
% ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
for ^in++++=for
chest ^nn++++=chest
Ct ^np+++??+=CT;
; ^zz++++=EXTRAWORD
however ^rb+cnj+++=however,
, ^zz++++=EXTRAWORD
these ^dt+dem+++=these
studies ^nns++++=studies
did ^vbd+dod+aux++=did
not ^xnot++not++=not
specify ^vb+vsua+++=specify
the ^ati++++=the
criteria ^nns++++=criteria
used ^md"++pmd"++=used
to ^to++++=to
classify ^vb++++=classify
chest ^nn++++=chest
Ct ^np+++??+=CT
findings ^nns++++=findings
as ^in++++=as
positive ^jj++++=positive
( ^zz++++=(11,18).
11,18 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
In ^in++++=In
contrast ^nn++++=contrast,
, ^zz++++=EXTRAWORD
Bai ^np+++??+=Bai
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
demonstrated ^vb+++xvbn+=demonstrated
that ^tht+vcmp+++=that
chest ^nn++++=chest
Ct ^np+++??+=CT
can ^md+pos+++=can
achieve ^vb++++=achieve
high ^jj+atrb+++=high
specificity ^nn++++=specificity
and ^cc++++=and
moderate ^jj+atrb+++=moderate
sensitivity ^nn++++=sensitivity
in ^in++++=in
differentiating ^xvbg+++xvbg+=differentiating
Covid ^np+++??+=COVID-19
- ^zz++++=EXTRAWORD
19 ^cd++++=EXTRAWORD
from ^in++++=from
other ^ap++++=other
viral ^nn+++??+=viral
pneumonias ^nns+++??+=pneumonias
( ^zz++++=(17).
17 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
These ^dt+dem+++=These
results ^nns++++=results
indicate ^vb+vprv+++=indicate
that ^tht+vcmp+++=that
variations ^nns++++=variations
in ^in++++=in
the ^ati++++=the
criteria ^nns++++=criteria
used ^md"++pmd"++=used
to ^to++++=to
interpret ^vb++++=interpret
Ct ^np+++??+=CT
Findings ^nns++++=findings
May ^md+pos+++=may
Lead ^vb++++=lead
To ^in++++=to
Differences ^nns++++=differences
In ^in++++=in
Diagnostic ^nn++++=diagnostic
Accuracy ^nn++++=accuracy.
 ^zz++++=EXTRAWORD
