All ^abn++++=All
individuals ^nns++++=individuals
were ^vbd+bed+aux++=were
tagged ^vprf+++xvbn+=tagged
with ^in++++=with
numbered ^jj+atrb++xvbn+=numbered
plastic ^nn++++=plastic
plates ^nns++++=plates
attached ^vbd+++xvbn+=attached
to ^in++++=to
the ^ati++++=the
stems ^nns++++=stems
using ^vwbg+++xvbg+=using
galvanized ^jj+atrb+++=galvanized
wire ^nn++++=wire,
, ^zz++++=EXTRAWORD
ensuring ^vbg+vprv++xvbg+=ensuring
sufficient ^jj+atrb+++=sufficient
space ^nn++++=space
for ^in++++=for
plant ^nn++++=plant
growth ^nn++++=growth.
. ^zz++++=EXTRAWORD
The ^ati++++=The
height ^nn++++=height
of ^in++++=of
each ^dt++++=each
individual ^jj++++=individual
was ^vbd+bedz+aux++=was
measured ^vpsv++agls+xvbnx+=measured
using ^vbg+++xvbg+=using
a ^at++++=a
graduated ^jj+atrb++xvbn+=graduated
ruler ^nn++++=ruler
and ^cc++++=and
an ^at++++=an
electronic ^jj+atrb+++=electronic
measuring ^jj+atrb++xvbg+=measuring
tape ^nn++++=tape.
. ^zz++++=EXTRAWORD
Diameter ^nn++++=Diameter
at ^in++++=at
breast ^nn++++=breast
height ^nn++++=height
( ^zz++++=(dbh)
dbh ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
was ^vbd+bedz+aux++=was
recorded ^vpsv++agls+xvbnx+=recorded
for ^in++++=for
all ^abn++++=all
branches ^nns++++=branches
with ^in++++=with
a ^at++++=a
dbh ^nn+++??+=dbh
greater ^jjr++++=greater
than ^in++++=than
2.5 ^cd++++=2.5
cm ^nnu++++=cm
during ^in++++=during
late ^jj+atrb+++=late
winter ^nn++++=winter,
, ^zz++++=EXTRAWORD
specifically ^rb++++=specifically
between ^in++++=between
the ^ati++++=the
second ^od++++=second
half ^nn++++=half
of ^in++++=of
August ^nr++++=August
and ^cc++++=and
the ^ati++++=the
first ^rb++++=first
half ^abn++++=half
of ^in++++=of
September ^nr++++=September
2012 ^cd++++=2012,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
corresponds ^vbz++++=corresponds
to ^in++++=to
the ^ati++++=the
driest ^nn+++??+=driest
period ^nn++++=period
of ^in++++=of
the ^ati++++=the
year ^nn++++=year.
. ^zz++++=EXTRAWORD
These ^dt+dem+++=These
measurements ^nns++++=measurements
were ^vbd+bed+aux++=were
conducted ^vpsv++agls+xvbnx+=conducted
6.5 ^cd++++=6.5
years ^nns++++=years
after ^cs+sub+++=after
the ^ati++++=the
initial ^jj+atrb+++=initial
assessment ^nn++++=assessment
performed ^vwbn+++xvbn+=performed
in ^in++++=in
march ^nn++++=March
2006 ^cd++++=2006
( ^zz++++=(Davison
davison ^np++++=EXTRAWORD
2009 ^cd++++=2009).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
