Almost ^rb+hdg+++=Almost
all ^abn++++=all
material ^nn++++=material
collected ^vwbn+++xvbn+=collected
during ^in++++=during
the ^ati++++=the
present ^jj+atrb+++=present
inventory ^nn++++=inventory
has ^vbz+hvz+aux++=has
been ^vprf+ben+aux+xvbnx+=been
deposited ^vpsv++agls+xvbnx+=deposited
at ^rb++++=at
the ^ati++++=the
Instituto ^np+++??+=Instituto
de ^&fw++++=de
Bot ^np+++??+=Bot
nica ^nn+++??+=nica
Herbarium ^np+++??+=Herbarium
Maria ^&fw++++=Maria
Eneyda ^np+++??+=Eneyda
P ^zz++++=P.
. ^zz++++=EXTRAWORD
Kauffmann ^np+++??+=Kauffmann
Fidalgo ^np+++??+=Fidalgo
( ^zz++++=(SP).
sp ^&fo++++=EXTRAWORD
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
A ^at++++=A
small ^jj+atrb+++=small
number ^nn++++=number
of ^in++++=of
samples ^nns++++=samples
were ^vbd+bed+aux++=were
not ^xnot++not++=not
deposited ^vwbn+++xvbn+=deposited
because ^cs+cos+++=because
they ^pp3a+pp3+++=they
were ^vbd+bed+vrb++=were
either ^dtx++++=either
lost ^jj++++=lost
or ^cc+phrs+++=or
damaged ^jj++++=damaged
during ^in++++=during
examination ^nn++++=examination.
. ^zz++++=EXTRAWORD
