Table ^nn++++=Table
1 ^zz++++=1
presents ^nns++++=presents
four ^cd++++=four
prevalence ^nn+++??+=prevalence
estimates ^nns++++=estimates.
. ^zz++++=EXTRAWORD
The ^ati++++=The
unadjusted ^nn+++??+=unadjusted
proportion ^nn++++=proportion
of ^in++++=of
Sars ^np+++??+=SARS-CoV-2
- ^zz++++=EXTRAWORD
cov ^nn+++??+=EXTRAWORD
- ^zz++++=EXTRAWORD
2 ^zz++++=EXTRAWORD
positive ^jj+atrb+++=positive
tests ^nns++++=tests
( ^zz++++=(crude
crude ^jj+atrb+++=EXTRAWORD
prevalence ^nn+++??+=prevalence)
) ^zz++++=EXTRAWORD
was ^vbd+bedz+vrb++=was
4.0 ^cd++++=4.0%
% ^zz++++=EXTRAWORD
( ^zz++++=(95%
95 ^cd++++=EXTRAWORD
% ^zz++++=EXTRAWORD
Ci ^np+++??+=CI:
: ^zz++++=EXTRAWORD
3.3 ^cd++++=3.3
4.7% ^cd++++=4.7%).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
weighted ^vpsv++by+xvbn+=weighted
by ^in++++=by
the ^ati++++=the
population ^nn++++=population
of ^in++++=of
Rio ^np+++??+=Rio
de ^&fw++++=de
Janeiro ^np+++??+=Janeiro
State ^nn++++=State,
, ^zz++++=EXTRAWORD
the ^ati++++=the
prevalence ^nn+++??+=prevalence
was ^vbd+bedz+vrb++=was
slightly ^rb+down+++=slightly
lower ^jjr+pred+++=lower
at ^rb++++=at
3.8 ^cd++++=3.8%
% ^zz++++=EXTRAWORD
( ^zz++++=(95%
95 ^cd++++=EXTRAWORD
% ^zz++++=EXTRAWORD
Ci ^np+++??+=CI:
: ^zz++++=EXTRAWORD
3.1 ^cd++++=3.1
4.5% ^cd++++=4.5%).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Additional ^jj+atrb+++=Additional
adjustment ^nn++++=adjustment
for ^in++++=for
test ^nn++++=test
sensitivity ^nn++++=sensitivity
and ^cc++++=and
specificity ^nn++++=specificity
resulted ^vbd+++xvbn+=resulted
in ^in++++=in
further ^jjb+atrb+++=further
reductions ^nns++++=reductions:
: ^zz++++=EXTRAWORD
the ^ati++++=the
non ^&fw++++=non-weighted
- ^zz++++=EXTRAWORD
weighted ^vbd+++xvbn+=EXTRAWORD
adjusted ^vbd+++xvbn+=adjusted
prevalence ^nn+++??+=prevalence
was ^vbd+bedz+vrb++=was
3.6 ^cd++++=3.6%
% ^zz++++=EXTRAWORD
( ^zz++++=(95%
95 ^cd++++=EXTRAWORD
% ^zz++++=EXTRAWORD
Ci ^np+++??+=CI:
: ^zz++++=EXTRAWORD
2.7 ^cd++++=2.7
4.4% ^cd++++=4.4%),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
weighted ^nn++++=weighted
adjusted ^vwbn+++xvbn+=adjusted
prevalence ^nn+++??+=prevalence
was ^vbd+bedz+vrb++=was
3.3 ^cd++++=3.3%
% ^zz++++=EXTRAWORD
( ^zz++++=(95%
95 ^cd++++=EXTRAWORD
% ^zz++++=EXTRAWORD
ci ^np++++=CI:
: ^zz++++=EXTRAWORD
2.6 ^cd++++=2.6
4.1% ^cd++++=4.1%).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
