The ^ati++++=The
search ^nn++++=search
strategy ^nn++++=strategy
will ^md+prd+++=will
include ^vb++++=include
terms ^nns++++=terms
related ^vbd+++xvbn+=related
to ^in++++=to
Sars ^np+++??+=SARS-CoV-2
- ^zz++++=EXTRAWORD
cov ^nn+++??+=EXTRAWORD
- ^zz++++=EXTRAWORD
2 ^zz++++=EXTRAWORD
as ^cs+sub+++=as
well ^rb++++=well
as ^ql++++=as
all ^abn++++=all
terms ^nns++++=terms
associated ^vbd+++xvbn+=associated
with ^in++++=with
arboviral ^nn+++??+=arboviral
infections ^nns++++=infections.
. ^zz++++=EXTRAWORD
No ^at++++=No
restrictions ^nns++++=restrictions
will ^md+prd+++=will
be ^vb+be+vrb++=be
applied ^jj+pred+++=applied
regarding ^in++++=regarding
language ^nn++++=language
or ^cc++++=or
publication ^nn++++=publication
source ^nn++++=source.
. ^zz++++=EXTRAWORD
