There ^ex+pex+++=There
is ^vbz+bez+vrb++=is
evidence ^nn++++=evidence
to ^to++++=to
suggest ^vbi+vpub+++=suggest
that ^tht+vcmp+++=that
strengthening ^vbg+++xvbg+=strengthening
primary ^jj+atrb+++=primary
health ^nn++++=health
care ^nn++++=care
( ^zz++++=(PHC)
phc ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
during ^in++++=during
the ^ati++++=the
current ^jj+atrb+++=current
pandemic ^nn+++??+=pandemic
may ^md+pos+++=may
serve ^vb++++=serve
as ^in++++=as
an ^at++++=an
effective ^jj+atrb+++=effective
strategy ^nn++++=strategy.
. ^zz++++=EXTRAWORD
The ^ati++++=The
Family ^nn++++=Family
Health ^nn++++=Health
Strategy ^nn++++=Strategy
( ^zz++++=(ESF),
esf ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
originally ^rb+tm+++=originally
established ^vbd+vprv++xvbn+=established
as ^ql++++=as
the ^ati++++=the
Family ^nn++++=Family
Health ^nn++++=Health
Program ^np+++??+=Program
( ^zz++++=(PSF)
psf ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
in ^in++++=in
the ^ati++++=the
early ^jj++++=early
1990s ^cd+date+++=1990s,
, ^zz++++=EXTRAWORD
has ^vbz+hvz+aux++=has
been ^vprf+ben+vrb+xvbnx+=been
the ^ati++++=the
principal ^jjb+atrb+++=principal
mechanism ^nn++++=mechanism
for ^in++++=for
restructuring ^nn+++??+=restructuring
healthcare ^nn+++??+=healthcare
delivery ^nn++++=delivery
and ^cc++++=and
consolidating ^jj+++xvbg+=consolidating
Phc ^np+++??+=PHC
in ^in++++=in
Brazil ^np++++=Brazil.
. ^zz++++=EXTRAWORD
In ^in++++=In
1998 ^cd+date+++=1998,
, ^zz++++=EXTRAWORD
Brazil ^np++++=Brazil
had ^vb+hv+vrb++=had
2,054 ^cd++++=2,054
family ^nn++++=family
health ^nn++++=health
teams ^nns++++=teams;
; ^zz++++=EXTRAWORD
by ^in++++=by
2017 ^cd++++=2017,
, ^zz++++=EXTRAWORD
this ^dt+dem+++=this
number ^nn++++=number
had ^vbd+hvd+aux++=had
increased ^vprf+++xvbnx+=increased
to ^to++++=to
41,619 ^cd++++=41,619,
, ^zz++++=EXTRAWORD
providing ^vbg+++xvbg+=providing
coverage ^nn++++=coverage
to ^in++++=to
approximately ^rb+down+++=approximately
70 ^cd++++=70%
% ^zz++++=EXTRAWORD
of ^in++++=of
the ^ati++++=the
Brazilian ^jj+atrb+++=Brazilian
population ^nn++++=population,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
about ^in++++=about
143 ^cd++++=143
million ^cd++++=million
individuals ^nns++++=individuals.
. ^zz++++=EXTRAWORD
The ^ati++++=The
Mais ^np+++??+=Mais
M ^zz++++=M
dicos ^nns+++??+=dicos
( ^zz++++=(More
more ^ql++++=EXTRAWORD
Doctors ^nns++++=Doctors)
) ^zz++++=EXTRAWORD
Program ^np+++??+=Program
contributed ^vbd+++xvbn+=contributed
to ^in++++=to
a ^at++++=a
rapid ^jj+atrb+++=rapid
expansion ^nn++++=expansion
of ^in++++=of
family ^nn++++=family
health ^nn++++=health
coverage ^nn++++=coverage
between ^in++++=between
2014 ^cd++++=2014
and ^cc++++=and
2017 ^cd++++=2017,
, ^zz++++=EXTRAWORD
with ^in++++=with
coverage ^nn++++=coverage
increasing ^vwbg+++xvbg+=increasing
from ^in++++=from
66.9 ^cd++++=66.9%
% ^zz++++=EXTRAWORD
to ^to++++=to
70.0 ^cd++++=70.0%.
% ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
The ^ati++++=The
Phc ^np+++??+=PHC
workforce ^nn+++??+=workforce
during ^in++++=during
this ^dt+dem+++=this
period ^nn++++=period
included ^vbd+++xvbn+=included
more ^rbr++++=more
than ^in++++=than
36,000 ^cd++++=36,000
health ^nn++++=health
posts ^nns++++=posts,
, ^zz++++=EXTRAWORD
63,000 ^cd++++=63,000
physicians ^nns++++=physicians,
, ^zz++++=EXTRAWORD
70,000 ^cd++++=70,000
nurses ^nns++++=nurses,
, ^zz++++=EXTRAWORD
263,000 ^cd++++=263,000
community ^nn++++=community
health ^nn++++=health
workers ^nns++++=workers,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
26,000 ^cd++++=26,000
oral ^jj+atrb+++=oral
health ^nn++++=health
teams ^nns++++=teams.
. ^zz++++=EXTRAWORD
