Two ^cd++++=Two
months ^nns++++=months
after ^in++++=after
the ^ati++++=the
identification ^nn++++=identification
of ^in++++=of
the ^ati++++=the
first ^od++++=first
Covid ^np+++??+=COVID-19
- ^zz++++=EXTRAWORD
19 ^cd++++=EXTRAWORD
case ^nn++++=case
in ^in++++=in
the ^ati++++=the
State ^nn++++=State
of ^in++++=of
Rio ^np+++??+=Rio
de ^&fw++++=de
Janeiro ^np+++??+=Janeiro,
, ^zz++++=EXTRAWORD
over ^in++++=over
thirteen ^cd++++=thirteen
thousand ^cd++++=thousand
confirmed ^vbn+vpub++xvbn+=confirmed
cases ^nns++++=cases
and ^cc++++=and
one ^cd1++++=one
thousand ^cd++++=thousand
deaths ^nns++++=deaths
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
reported ^vpsv++agls+xvbnx+=reported
[ ^zz++++=[3].
3 ^zz++++=EXTRAWORD
] ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Despite ^in++++=Despite
the ^ati++++=the
implementation ^nn++++=implementation
of ^in++++=of
extensive ^jj+atrb+++=extensive
measures ^nns++++=measures
to ^to++++=to
restrict ^vbi++++=restrict
social ^jj+atrb+++=social
interaction ^nn++++=interaction
and ^cc++++=and
enhance ^vb++++=enhance
diagnostic ^jj+atrb++??+=diagnostic
capacity ^nn++++=capacity
in ^in++++=in
the ^ati++++=the
early ^jj+atrb+++=early
weeks ^nns++++=weeks
of ^in++++=of
March ^nr++++=March
[ ^zz++++=[20],
20 ^cd++++=EXTRAWORD
] ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
the ^ati++++=the
epidemic ^nn++++=epidemic
curve ^nn++++=curve
continued ^vbd+++xvbn+=continued
to ^to++++=to
rise ^vbi++++=rise,
, ^zz++++=EXTRAWORD
indicating ^vbg+vprv++xvbg+=indicating
an ^at++++=an
imminent ^jj+atrb+++=imminent
risk ^nn++++=risk
of ^in++++=of
hospital ^nn++++=hospital
service ^nn++++=service
overload ^nn++++=overload
for ^in++++=for
covid ^np++++=COVID-19
- ^zz++++=EXTRAWORD
19 ^cd++++=EXTRAWORD
care ^nn++++=care
[ ^zz++++=[21].
21 ^cd++++=EXTRAWORD
]. ^nn++++=EXTRAWORD
