Gar ^np+++??+=Gar
as ^in++++=as
Reservoir ^nn++++=Reservoir
is ^vbz+bez+aux++=is
included ^vpsv++agls+xvbnx+=included
in ^in++++=in
a ^at++++=a
long ^jj++++=long-term
- ^zz++++=EXTRAWORD
term ^nn++++=EXTRAWORD
ecological ^nn+++??+=ecological
research ^nn++++=research
( ^zz++++=(LTER)
lter ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
program ^nn+++??+=program
and ^cc++++=and
has ^vbz+hvz+aux++=has
been ^vprf+ben+aux+xvbnx+=been
extensively ^rb++splt++=extensively
studied ^vprf+++xvbn+=studied
over ^in++++=over
the ^ati++++=the
years ^nns++++=years.
. ^zz++++=EXTRAWORD
Analysis ^nn++++=Analysis
of ^in++++=of
data ^nns++++=data
collected ^vwbn+++xvbn+=collected
over ^in++++=over
a ^at++++=a
20 ^cd++++=20-year
- ^zz++++=EXTRAWORD
year ^nn++++=EXTRAWORD
period ^nn++++=period
indicates ^vbz+vpub+++=indicates
a ^at++++=a
slight ^jj+atrb+++=slight
improvement ^nn++++=improvement
in ^in++++=in
the ^ati++++=the
overall ^jjb+atrb+++=overall
health ^nn++++=health
of ^in++++=of
the ^ati++++=the
system ^nn++++=system.
. ^zz++++=EXTRAWORD
