Specialists ^nns++++=Specialists
responsible ^jj++++=responsible
for ^in++++=for
administering ^xvbg+++xvbg+=administering
anesthesia ^nn+++??+=anesthesia
and ^cc++++=and
performing ^vbg+++xvbg+=performing
the ^ati++++=the
surgical ^jj+atrb+++=surgical
procedure ^nn++++=procedure
must ^md+nec+++=must
ensure ^vb+vprv+++=ensure
that ^tht+vcmp+++=that
these ^dt+dem+++=these
processes ^nns++++=processes
are ^vb+ber+aux++=are
conducted ^vpsv++agls+xvbnx+=conducted
in ^in++++=in
a ^at++++=a
manner ^nn++++=manner
that ^tht+rel+obj++=that
prioritizes ^nns++++=prioritizes
safety ^nn++++=safety,
, ^zz++++=EXTRAWORD
accuracy ^nn++++=accuracy,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
efficiency ^nn++++=efficiency.
. ^zz++++=EXTRAWORD
