Materials ^nns++++=Materials
and ^cc++++=and
Methods ^nns++++=Methods:
: ^zz++++=EXTRAWORD
A ^at++++=A
literature ^nn++++=literature
search ^nn++++=search
was ^vbd+bedz+aux++=was
performed ^vpsv++agls+xvbnx+=performed
in ^in++++=in
the ^ati++++=the
Medline ^np+++??+=MEDLINE/PubMed,
Scielo ^np+++??+=Scielo,
, ^zz++++=EXTRAWORD
Lilacs ^np+++??+=Lilacs,
, ^zz++++=EXTRAWORD
Web ^nn++++=Web
of ^in++++=of
Science ^nn++++=Science,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Scopus ^np+++??+=Scopus
databases ^nns+++??+=databases
to ^to++++=to
identify ^vbi++++=identify
all ^abn++++=all
relevant ^jj+atrb+++=relevant
articles ^nns++++=articles
published ^vbd+++xvbn+=published
in ^in++++=in
the ^ati++++=the
past ^jjb++++=past
20 ^cd++++=20
years ^nns++++=years,
, ^zz++++=EXTRAWORD
following ^jj+++xvbg+=following
Prisma ^np+++??+=PRISMA
guidelines ^nns+++??+=guidelines.
. ^zz++++=EXTRAWORD
Two ^cd++++=Two
reviewers ^nns++++=reviewers
independently ^rb++++=independently
extracted ^vbd+++xvbn+=extracted
data ^nns++++=data
using ^vwbg+++xvbg+=using
a ^at++++=a
standardized ^nn+++??+=standardized
form ^nn++++=form.
. ^zz++++=EXTRAWORD
The ^ati++++=The
extracted ^jj+atrb++xvbn+=extracted
variables ^nns++++=variables
included ^vbd+++xvbn+=included
country ^nn++++=country
of ^in++++=of
study ^nn++++=study,
, ^zz++++=EXTRAWORD
study ^nn++++=study
design ^nn++++=design,
, ^zz++++=EXTRAWORD
pacifier ^nn+++??+=pacifier
material ^nn++++=material,
, ^zz++++=EXTRAWORD
sample ^nn++++=sample
size ^nn++++=size,
, ^zz++++=EXTRAWORD
microorganisms ^nns+++??+=microorganisms
analyzed ^nn+++??+=analyzed,
, ^zz++++=EXTRAWORD
decontamination ^nn++++=decontamination
methods ^nns++++=methods
employed ^vbd+++xvbn+=employed,
, ^zz++++=EXTRAWORD
accessibility ^nn++++=accessibility
of ^in++++=of
the ^ati++++=the
methods ^nns++++=methods,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
reported ^vbn+vpub+++=reported
results ^nns++++=results.
. ^zz++++=EXTRAWORD
