Once ^rb+tm+++=Once
individuals ^nns++++=individuals
are ^vb+ber+aux++=are
accepted ^vpsv++agls+xvbnx+=accepted
as ^ql++++=as
blood ^nn++++=blood
donors ^nns++++=donors
and ^cc++++=and
provide ^vb+vsua+++=provide
informed ^jj+atrb++xvbn+=informed
consent ^nn++++=consent
for ^in++++=for
both ^abx++++=both
blood ^nn++++=blood
donation ^nn++++=donation
and ^cc++++=and
additional ^jj++++=additional
testing ^jj+++xvbg+=testing
for ^in++++=for
pathogens ^nns++++=pathogens
not ^xnot++not++=not
included ^vbd+++xvbn+=included
in ^in++++=in
the ^ati++++=the
mandatory ^jj+atrb+++=mandatory
list ^nn++++=list
of ^in++++=of
infectious ^nns+++??+=infectious
disease ^nn++++=disease
markers ^nns++++=markers
required ^vbd+++xvbn+=required
for ^in++++=for
all ^abn++++=all
blood ^nn++++=blood
donations ^nns++++=donations
in ^in++++=in
Brazil ^np++++=Brazil,
, ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
are ^vb+ber+aux++=are
automatically ^rb++splt++=automatically
enrolled ^vpsv++agls+xvbnx+=enrolled
in ^in++++=in
the ^ati++++=the
study ^nn++++=study.
. ^zz++++=EXTRAWORD
Blood ^nn++++=Blood
donation ^nn++++=donation
and ^cc++++=and
sample ^nn++++=sample
collection ^nn++++=collection
were ^vbd+bed+aux++=were
conducted ^vpsv++agls+xvbnx+=conducted
either ^dtx++++=either
at ^in++++=at
the ^ati++++=the
fixed ^jj+++xvbn+=fixed
Hemorio ^np+++??+=Hemorio
central ^jj+atrb+++=central
facility ^nn++++=facility
or ^cc++++=or
through ^in++++=through
mobile ^jj+atrb+++=mobile
collection ^nn++++=collection
units ^nns++++=units
located ^vwbn+++xvbn+=located
in ^in++++=in
churches ^nns++++=churches
and ^cc++++=and
private ^jj+atrb+++=private
condominiums ^nns++++=condominiums
within ^in++++=within
the ^ati++++=the
rio ^np++++=Rio
de ^&fw++++=de
janeiro ^np++++=Janeiro
area ^nn++++=area.
. ^zz++++=EXTRAWORD
