Given ^vbd+++xvbn+=Given
these ^dt+dem+++=these
considerations ^nns++++=considerations,
, ^zz++++=EXTRAWORD
the ^ati++++=the
aim ^nn++++=aim
of ^in++++=of
this ^dt+dem+++=this
study ^nn++++=study
was ^vbd+bedz+aux++=was
to ^to++++=to
conduct ^vbi++++=conduct
a ^at++++=a
review ^nn++++=review
of ^in++++=of
pacifier ^nn+++??+=pacifier
disinfection ^nn+++??+=disinfection
methods ^nns++++=methods
in ^in++++=in
order ^vb++++=order
to ^to+vcmp+++=to
determine ^vbi++++=determine
whether ^cs+who+++=whether
a ^at++++=a
consensus ^nn++++=consensus
exists ^vbz++++=exists
in ^in++++=in
the ^ati++++=the
literature ^nn++++=literature
and ^cc++++=and
to ^to++++=to
identify ^vbi++++=identify
whether ^cs+who+++=whether
any ^dti++++=any
method ^nn++++=method
fulfills ^nns+++??+=fulfills
all ^abn++++=all
expected ^jj+atrb++xvbn+=expected
outcomes ^nns+++??+=outcomes.
. ^zz++++=EXTRAWORD
This ^dt+pdem+++=This
was ^vbd+bedz+aux++=was
achieved ^vpsv++by+xvbnx+=achieved
by ^in++++=by
systematically ^rb++++=systematically
identifying ^jj+++xvbg+=identifying
and ^cc++++=and
evaluating ^nn+++??+=evaluating
all ^abn++++=all
disinfection ^nn++++=disinfection
methods ^nns++++=methods
proposed ^jj++++=proposed
in ^in++++=in
the ^ati++++=the
existing ^jj+atrb+++=existing
literature ^nn++++=literature.
. ^zz++++=EXTRAWORD
