A ^at++++=A
flora ^np++++=flora
is ^vbz+bez+vrb++=is
not ^xnot++not++=not
the ^ati++++=the
result ^nn++++=result
of ^in++++=of
individual ^jj+atrb+++=individual
effort ^nn++++=effort,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
rather ^rb++++=rather
a ^at++++=a
collaborative ^nn+++??+=collaborative
endeavor ^nn+++??+=endeavor.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
extend ^vb++++=extend
our ^pp$+pp1+++=our
sincere ^jj+atrb+++=sincere
gratitude ^nn++++=gratitude
to ^in++++=to
the ^ati++++=the
20 ^cd++++=20
professional ^jj+atrb+++=professional
researchers ^nns+++??+=researchers
and ^cc++++=and
19 ^cd++++=19
students ^nns++++=students
whose ^whp+rel+obj++=whose
contributions ^nns++++=contributions
have ^vb+hv+aux++=have
been ^vprf+ben+vrb+xvbnx+=been
essential ^jj++++=essential
to ^to+jcmp+++=to
the ^ati++++=the
development ^nn++++=development
of ^in++++=of
the ^ati++++=the
" ^zz++++="PEFI
pefi ^nn++++=EXTRAWORD
algal ^np++++=Algal
flora ^np++++=Flora"
" ^zz++++=EXTRAWORD
to ^in++++=to
date ^nn++++=date.
. ^zz++++=EXTRAWORD
