Over ^in++++=Over
the ^ati++++=the
past ^jjb++++=past
16 ^cd++++=16
years ^nns++++=years,
, ^zz++++=EXTRAWORD
the ^ati++++=the
finance ^nn++++=finance
and ^cc++++=and
manufacturing ^nvbg+++xvbg+=manufacturing
sectors ^nns++++=sectors
have ^vb+hv+aux++=have
received ^vprf+++xvbnx+=received
the ^ati++++=the
largest ^nn++++=largest
share ^vb++++=share
of ^in++++=of
foreign ^jj+atrb+++=foreign
direct ^jj+atrb+++=direct
investment ^nn++++=investment
( ^zz++++=(FDI)
fdi ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
in ^in++++=in
Turkey ^nn++++=Turkey.
. ^zz++++=EXTRAWORD
During ^in++++=During
this ^dt+dem+++=this
period ^nn++++=period,
, ^zz++++=EXTRAWORD
the ^ati++++=the
range ^nn++++=range
of ^in++++=of
sectors ^nns++++=sectors
attracting ^j++++=attracting
Fdi ^np+++??+=FDI
has ^vbz+hvz+aux++=has
become ^vprf+++xvbn+=become
increasingly ^rb++++=increasingly
diversified ^vbd+++xvbn+=diversified,
, ^zz++++=EXTRAWORD
consistent ^jj++++=consistent
with ^in++++=with
Turkey ^np++++=Turkey
s ^zz++++=s
2023 ^cd++++=2023
objective ^nn++++=objective
of ^in++++=of
enhancing ^vbg+++xvbg+=enhancing
its ^pp$+it+++=its
position ^nn++++=position
within ^in++++=within
the ^ati++++=the
global ^jj+atrb+++=global
value ^nn++++=value
chain ^nn++++=chain.
. ^zz++++=EXTRAWORD
