Based ^xvbn+++xvbn+=Based
on ^in++++=on
the ^ati++++=the
data ^nns++++=data
obtained ^vwbn+++xvbn+=obtained
from ^in++++=from
the ^ati++++=the
linearity ^nn+++??+=linearity
curves ^nns++++=curves
of ^in++++=of
each ^dt++++=each
sample ^nn++++=sample,
, ^zz++++=EXTRAWORD
the ^ati++++=the
concentration ^nn++++=concentration
of ^in++++=of
each ^dt++++=each
extract ^nn++++=extract
required ^vbd+++xvbn+=required
to ^to+vcmp+++=to
induce ^vbi++++=induce
50 ^cd++++=50%
% ^zz++++=EXTRAWORD
hemolysis ^nns+++??+=hemolysis
of ^in++++=of
red ^jj+atrb+++=red
blood ^nn++++=blood
cells ^nns++++=cells
( ^zz++++=(IC50)
ic50 ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
was ^vbd+bedz+aux++=was
determined ^vpsv++agls+xvbnx+=determined.
. ^zz++++=EXTRAWORD
These ^dt+dem+++=These
Ic50 ^np+++??+=IC50
values ^nns++++=values
were ^vbd+bed+aux++=were
subsequently ^rb+tm+splt++=subsequently
used ^vpsv++++=used
to ^to++++=to
calculate ^vb++++=calculate
the ^ati++++=the
selectivity ^nn+++??+=selectivity
index ^nn++++=index
( ^zz++++=(SI)
si ^&fw++++=EXTRAWORD
) ^zz++++=EXTRAWORD
for ^in++++=for
each ^dt++++=each
extract ^nn++++=extract
against ^in++++=against
the ^ati++++=the
tested ^jj+atrb++xvbn+=tested
bacteria ^nns++++=bacteria,
, ^zz++++=EXTRAWORD
following ^jj+++xvbg+=following
the ^ati++++=the
methodology ^nn++++=methodology
described ^vwbn+++xvbn+=described
by ^in++++=by
Protopopova ^np+++??+=Protopopova
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
( ^zz++++=(2005).
2005 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
The ^ati++++=The
selectivity ^nn+++??+=selectivity
index ^nn++++=index
was ^vbd+bedz+aux++=was
calculated ^vpsv++agls+xvbnx+=calculated
using ^vbg+++xvbg+=using
the ^ati++++=the
equation ^nn++++=equation
Si ^&fw++++=SI
= ^zz++++==
Ic50 ^np+++??+=IC50
Mic ^np+++??+=MIC,
, ^zz++++=EXTRAWORD
where ^wrb+who+++=where
Si ^&fw++++=SI
represents ^vbz++++=represents
the ^ati++++=the
selectivity ^nn+++??+=selectivity
index ^nn++++=index,
, ^zz++++=EXTRAWORD
Ic50 ^np+++??+=IC50
is ^vbz+bez+vrb++=is
the ^ati++++=the
concentration ^nn++++=concentration
of ^in++++=of
extract ^nn++++=extract
causing ^vwbg+++xvbg+=causing
50 ^cd++++=50%
% ^zz++++=EXTRAWORD
hemolysis ^nns+++??+=hemolysis,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Mic ^np+++??+=MIC
is ^vbz+bez+vrb++=is
the ^ati++++=the
minimum ^jj+atrb+++=minimum
inhibitory ^nn++++=inhibitory
concentration ^nn++++=concentration
against ^in++++=against
the ^ati++++=the
test ^nn++++=test
microorganism ^nn++++=microorganism.
. ^zz++++=EXTRAWORD
