At ^rb++++=At
the ^ati++++=the
Centro ^np+++??+=Centro
de ^&fw++++=de
Terapia ^np+++??+=Terapia
Oncol ^np+++??+=Oncol
gica ^nn+++??+=gica
( ^zz++++=(CTO),
cto ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
an ^at++++=an
oncology ^nn+++??+=oncology
clinic ^nn++++=clinic
in ^in++++=in
Petr ^np+++??+=Petr
polis ^nns+++??+=polis,
, ^zz++++=EXTRAWORD
Rj ^np+++??+=RJ,
, ^zz++++=EXTRAWORD
Brazil ^np++++=Brazil,
, ^zz++++=EXTRAWORD
all ^abn++++=all
healthcare ^nn+++??+=healthcare
workers ^nns++++=workers
( ^zz++++=(HCWs)
hcws ^nns+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
were ^vbd+bed+aux++=were
screened ^vpsv++agls+xvbnx+=screened
for ^in++++=for
Sars ^np+++??+=SARS-CoV-2
- ^zz++++=EXTRAWORD
cov ^nn+++??+=EXTRAWORD
- ^zz++++=EXTRAWORD
2 ^zz++++=EXTRAWORD
to ^to++++=to
identify ^vbi++++=identify
and ^cc+phrs+++=and
isolate ^vb++++=isolate
individuals ^nns++++=individuals
who ^whp+rel+subj++=who
were ^vbd+bed+vrb++=were
either ^dtx++++=either
asymptomatic ^nn+++??+=asymptomatic
or ^cc++++=or
symptomatic ^jj++++=symptomatic
and ^cc+phrs+++=and
tested ^jj+++xvbn+=tested
positive ^jj++++=positive
for ^in++++=for
the ^ati++++=the
virus ^nn++++=virus.
. ^zz++++=EXTRAWORD
Screening ^vbg+++xvbg+=Screening
was ^vbd+bedz+aux++=was
conducted ^vpsv++agls+xvbnx+=conducted
using ^vbg+++xvbg+=using
Igm ^np+++??+=IgM/IgG
rapid ^jj+atrb+++=rapid
antibody ^nn++++=antibody
tests ^nns++++=tests
for ^in++++=for
all ^abn++++=all
Hcws ^np+++??+=HCWs,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
those ^dt+dem+++=those
presenting ^jj+atrb++xvbg+=presenting
symptoms ^nns++++=symptoms
additionally ^nn+++??+=additionally
underwent ^nn+++??+=underwent
nasopharyngeal ^nn+++??+=nasopharyngeal
swab ^nn++++=swab
collection ^nn++++=collection
for ^in++++=for
reverse ^nn++++=reverse
transcription ^nn+++??+=transcription
polymerase ^nn+++??+=polymerase
chain ^nn++++=chain
reaction ^nn++++=reaction
( ^zz++++=(RT-PCR)
rt ^npt++++=EXTRAWORD
- ^zz++++=EXTRAWORD
pcr ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
testing ^nn++++=testing,
, ^zz++++=EXTRAWORD
in ^in++++=in
conjunction ^nn++++=conjunction
with ^in++++=with
the ^ati++++=the
antibody ^nn++++=antibody
testing ^nn++++=testing.
. ^zz++++=EXTRAWORD
