Given ^vprf+++xvbn+=Given
that ^dt+dem+++=that
asymptomatic ^nn+++??+=asymptomatic
transmission ^nn++++=transmission
has ^vbz+hvz+aux++=has
been ^vprf+ben+aux+xvbnx+=been
well ^jj+pred+++=well
documented ^vpsv++agls+xvbn+=documented,
, ^zz++++=EXTRAWORD
this ^dt+dem+++=this
discussion ^nn++++=discussion
highlights ^nns++++=highlights
the ^ati++++=the
necessity ^nn++++=necessity
of ^in++++=of
mass ^nn++++=mass
testing ^vwbg+++xvbg+=testing
for ^in++++=for
both ^abx++++=both
symptomatic ^jj++++=symptomatic
and ^cc++++=and
asymptomatic ^nn+++??+=asymptomatic
healthcare ^nn+++??+=healthcare
workers ^nns++++=workers
( ^zz++++=(HCWs)
hcws ^nns+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
to ^in++++=to
minimize ^nn+++??+=minimize
the ^ati++++=the
need ^nn++++=need
for ^in++++=for
workforce ^nn+++??+=workforce
quarantine ^nn++++=quarantine,
, ^zz++++=EXTRAWORD
reduce ^vb++++=reduce
the ^ati++++=the
spread ^nn+++xvbn+=spread
of ^in++++=of
infection ^nn++++=infection
from ^in++++=from
asymptomatic ^nn+++??+=asymptomatic
or ^cc++++=or
mild ^jj+atrb+++=mild
cases ^nns++++=cases,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
protect ^vb++++=protect
the ^ati++++=the
health ^nn++++=health
of ^in++++=of
both ^abx++++=both
hcws ^np++++=HCWs
and ^cc++++=and
patients ^nns++++=patients.
. ^zz++++=EXTRAWORD
