The ^ati++++=The
infection ^nn++++=infection
may ^md+pos+++=may
present ^vb++++=present
with ^in++++=with
mild ^jj+atrb+++=mild
symptoms ^nns++++=symptoms,
, ^zz++++=EXTRAWORD
typically ^rb++++=typically
beginning ^nvbg+++xvbg+=beginning
with ^in++++=with
cough ^nn++++=cough,
, ^zz++++=EXTRAWORD
muscle ^nn++++=muscle
pain ^nn++++=pain,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
anosmia ^nn+++??+=anosmia,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
can ^md+pos+++=can
progress ^vb++++=progress
to ^in++++=to
high ^jj+atrb+++=high
fever ^nn++++=fever
and ^cc++++=and
pneumonia ^nn++++=pneumonia
with ^in++++=with
severe ^jj+atrb+++=severe
lung ^nn++++=lung
involvement ^nn++++=involvement
[ ^zz++++=[4];
4 ^zz++++=EXTRAWORD
] ^zz++++=EXTRAWORD
; ^zz++++=EXTRAWORD
in ^in++++=in
some ^dti++++=some
cases ^nns++++=cases,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
may ^md+pos+++=may
result ^vb++++=result
in ^in++++=in
death ^nn++++=death
[ ^zz++++=[5,
5 ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
6 ^zz++++=6,
, ^zz++++=EXTRAWORD
7 ^zz++++=7].
] ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
However ^rb+cnj+++=However,
, ^zz++++=EXTRAWORD
most ^ql+emph+++=most
infections ^nns++++=infections
are ^vb+ber+vrb++=are
characterized ^nn+++??+=characterized
by ^in++++=by
few ^ap++++=few
or ^cc++++=or
no ^at++++=no
symptoms ^nns++++=symptoms,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
poses ^vbz++++=poses
a ^at++++=a
significant ^jj+atrb+++=significant
challenge ^nn++++=challenge
for ^in++++=for
disease ^nn++++=disease
control ^nn++++=control,
, ^zz++++=EXTRAWORD
as ^ql++++=as
asymptomatic ^vb++++=asymptomatic
individuals ^nns++++=individuals
can ^md+pos+++=can
contribute ^vb++++=contribute
substantially ^rb++++=substantially
to ^in++++=to
transmission ^nn++++=transmission
[ ^zz++++=[8].
8 ^zz++++=EXTRAWORD
]. ^nn++++=EXTRAWORD
