Thermogravimetric ^np+++??+=Thermogravimetric
analysis ^nn++++=analysis
( ^zz++++=(TG)
tg ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
and ^cc++++=and
differential ^jj+atrb+++=differential
thermal ^jj+atrb+++=thermal
analysis ^nn++++=analysis
( ^zz++++=(DTA)
dta ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
were ^vbd+bed+aux++=were
conducted ^vpsv++agls+xvbnx+=conducted
using ^vbg+++xvbg+=using
a ^at++++=a
Dtg ^np+++??+=DTG-60
- ^zz++++=EXTRAWORD
60 ^cd++++=EXTRAWORD
instrument ^nn++++=instrument
( ^zz++++=(Shimadzu
shimadzu ^nn+++??+=EXTRAWORD
Corporation ^nn++++=Corporation,
, ^zz++++=EXTRAWORD
Kyoto ^np+++??+=Kyoto,
, ^zz++++=EXTRAWORD
Japan ^np++++=Japan).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Approximately ^rb+down+++=Approximately
7.0 ^cd++++=7.0
mg ^nnu++++=mg
of ^in++++=of
each ^dt++++=each
sample ^nn++++=sample
was ^vbd+bedz+aux++=was
placed ^vpsv++agls+xvbnx+=placed
in ^in++++=in
an ^at++++=an
alumina ^nn+++??+=alumina
crucible ^nn+++??+=crucible
and ^cc++++=and
heated ^vpsv++agls+xvbn+=heated
from ^in++++=from
25 ^cd++++=25
C ^zz++++=C
to ^to++++=to
900 ^cd++++=900
C ^zz++++=C
at ^rb++++=at
a ^at++++=a
rate ^nn++++=rate
of ^in++++=of
10 ^cd++++=10
C ^zz++++=C/min
under ^in++++=under
a ^at++++=a
nitrogen ^nn++++=nitrogen
atmosphere ^nn++++=atmosphere,
, ^zz++++=EXTRAWORD
following ^jj+++xvbg+=following
the ^ati++++=the
procedure ^nn++++=procedure
described ^vwbn+++xvbn+=described
by ^in++++=by
Sette ^np+++??+=Sette-de-Souza
 ^zz++++=EXTRAWORD
De ^&fw++++=EXTRAWORD
 ^zz++++=EXTRAWORD
Souza ^nn++++=EXTRAWORD
Et ^&fw++++=et
Al ^&fw++++=al.
 ^zz++++=EXTRAWORD
 ^zz++++=(2018).
018 ^np++++=EXTRAWORD
	. ^nn++++=EXTRAWORD
