Within ^in++++=Within
this ^dt+dem+++=this
sequence ^nn++++=sequence
length ^nn++++=length,
, ^zz++++=EXTRAWORD
both ^abx++++=both
Gene ^np++++=Gene
S ^zz++++=S
( ^zz++++=(start)
start ^vb++++=EXTRAWORD
) ^zz++++=EXTRAWORD
and ^cc++++=and
Gene ^np++++=Gene
Orf10 ^np+++??+=ORF10
are ^vb+ber+aux++=are
identified ^vpsv++agls+xvbnx+=identified.
. ^zz++++=EXTRAWORD
Additionally ^np+++??+=Additionally,
, ^zz++++=EXTRAWORD
the ^ati++++=the
value ^nn++++=value
of ^in+strn+++=of
, ^zz++++=,
indicates ^vbz+vpub+++=indicates
a ^at++++=a
significant ^jj+atrb+++=significant
region ^nn++++=region
near ^in+pl+++=near
the ^ati++++=the
11,000 ^cd++++=11,000
nucleotide ^nn++++=nucleotide
position ^nn++++=position.
. ^zz++++=EXTRAWORD
