It ^pp3+it+++=It
is ^vbz+bez+aux++=is
well ^rb++splt++=well
established ^vpsv++agls+xvbnx+=established
that ^tht+vcmp+++=that
specific ^jj+atrb+++=specific
pathogen ^nn+++??+=pathogen
mutations ^nns+++??+=mutations
are ^vb+ber+vrb++=are
often ^rb++++=often
necessary ^jj+pred+++=necessary
to ^to+jcmp+++=to
increase ^vbi++++=increase
a ^at++++=a
pathogen ^nn+++??+=pathogen
s ^zz++++=s
fitness ^nn++++=fitness
in ^in++++=in
a ^at++++=a
new ^jj+atrb+++=new
host ^nn++++=host
( ^zz++++=(Longdon
longdon ^np++++=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2014 ^cd++++=2014).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
phenomenon ^nn++++=phenomenon
was ^vbd+bedz+aux++=was
observed ^vpsv++agls+xvbnx+=observed
in ^in++++=in
the ^ati++++=the
emergence ^nn++++=emergence
of ^in++++=of
Sars ^np+++??+=SARS-CoV-2.
- ^zz++++=EXTRAWORD
cov ^nn+++??+=EXTRAWORD
- ^zz++++=EXTRAWORD
2 ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Recent ^jj+atrb+++=Recent
studies ^nns++++=studies
indicate ^vb+vprv+++=indicate
that ^tht+vcmp+++=that
the ^ati++++=the
cross ^jj++++=cross-species
- ^zz++++=EXTRAWORD
species ^nns++++=EXTRAWORD
transmission ^nn++++=transmission
leading ^vwbg+++xvbg+=leading
to ^in++++=to
the ^ati++++=the
emergence ^nn++++=emergence
of ^in++++=of
Sars ^np+++??+=SARS-CoV-2
- ^zz++++=EXTRAWORD
cov ^nn+++??+=EXTRAWORD
- ^zz++++=EXTRAWORD
2 ^zz++++=EXTRAWORD
in ^in++++=in
humans ^nns++++=humans
was ^vbd+bedz+aux++=was
primarily ^rb+down+splt++=primarily
facilitated ^vpsv++by+xvbnx+=facilitated
by ^in++++=by
five ^cd++++=five
amino ^nn+++??+=amino
acid ^jj+atrb+++=acid
substitutions ^nns++++=substitutions
in ^in++++=in
key ^jjb+atrb+++=key
binding ^jj+atrb+++=binding
sites ^nns++++=sites
of ^in++++=of
the ^ati++++=the
S ^zz++++=S
glycoprotein ^nn+++??+=glycoprotein
( ^zz++++=(Wan
wan ^jj++++=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2020 ^cd++++=2020;
; ^zz++++=EXTRAWORD
Andersen ^np+++??+=Andersen
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
