Shrub ^np+++??+=Shrub
and ^cc++++=and
tree ^nn++++=tree
individuals ^nns++++=individuals
sampled ^nn+++??+=sampled
in ^in++++=in
2006 ^cd++++=2006,
, ^zz++++=EXTRAWORD
as ^cs+sub+++=as
well ^rb++++=well
as ^ql++++=as
those ^dt+dem+++=those
recruited ^jj+++xvbn+=recruited
during ^in++++=during
the ^ati++++=the
study ^nn++++=study
period ^nn++++=period,
, ^zz++++=EXTRAWORD
were ^vbd+bed+aux++=were
identified ^vpsv++agls+xvbnx+=identified
through ^in++++=through
comparison ^nn++++=comparison
with ^in++++=with
herbarium ^&fw++++=herbarium
specimens ^nns++++=specimens,
, ^zz++++=EXTRAWORD
consultation ^nn++++=consultation
of ^in++++=of
relevant ^jj+atrb+++=relevant
literature ^nn++++=literature,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
verification ^nn+++??+=verification
with ^in++++=with
researchers ^nns+++??+=researchers
from ^in++++=from
the ^ati++++=the
Herbarium ^np+++??+=Herbarium
of ^in++++=of
the ^ati++++=the
S ^zz++++=S
o ^zz++++=o
Paulo ^np+++??+=Paulo
Botanical ^np+++??+=Botanical
Institute ^nn++++=Institute
( ^zz++++=(SP)
sp ^&fo++++=EXTRAWORD
) ^zz++++=EXTRAWORD
and ^cc++++=and
the ^ati++++=the
S ^zz++++=S
o ^zz++++=o
Paulo ^np+++??+=Paulo
Forestry ^nn++++=Forestry
Institute ^nn++++=Institute
( ^zz++++=(SPSF).
spsf ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Botanical ^np+++??+=Botanical
nomenclature ^nn++++=nomenclature
followed ^vbd+vprv++xvbn+=followed
the ^ati++++=the
Brazilian ^jj+atrb+++=Brazilian
Flora ^np++++=Flora
Species ^nn++++=Species
List ^nn++++=List
( ^zz++++=(Flora
flora ^np++++=EXTRAWORD
do ^vb+do+vrb++=do
Brasil ^np+++??+=Brasil
2020 ^cd++++=2020
under ^in++++=under
construction ^nn++++=construction
2019 ^cd++++=2019),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
in ^in++++=in
accordance ^nn++++=accordance
with ^in++++=with
the ^ati++++=the
Apg ^np+++??+=APG
Iv ^np+++??+=IV
system ^nn++++=system
( ^zz++++=(APG
apg ^nn+++??+=EXTRAWORD
Iv ^np+++??+=IV
2016 ^cd++++=2016).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Voucher ^np+++??+=Voucher
specimens ^nns++++=specimens
have ^vb+hv+aux++=have
been ^vprf+ben+aux+xvbnx+=been
deposited ^vpsv++agls+xvbnx+=deposited
in ^in++++=in
the ^ati++++=the
Herbarium ^np+++??+=Herbarium
of ^in++++=of
the ^ati++++=the
S ^zz++++=S
o ^zz++++=o
Paulo ^np+++??+=Paulo
Botanical ^np+++??+=Botanical
Institute ^nn++++=Institute
( ^zz++++=(SP,
sp ^&fo++++=EXTRAWORD
, ^zz++++=EXTRAWORD
maria ^np++++=Maria
eneyda ^np++++=Eneyda,
, ^zz++++=EXTRAWORD
p ^zz++++=P.
. ^zz++++=EXTRAWORD
k ^zz++++=K.
. ^zz++++=EXTRAWORD
fidalgo ^np++++=Fidalgo).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
