If ^cs+cnd+++=If
the ^ati++++=the
Covid ^np+++??+=COVID-19
- ^zz++++=EXTRAWORD
19 ^cd++++=EXTRAWORD
test ^nn++++=test
result ^nn++++=result
is ^vbz+bez+vrb++=is
negative ^jj+pred+++=negative,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
is ^vbz+bez+aux++=is
recommended ^vpsv++agls+xvbnx+=recommended
to ^to++++=to
follow ^vbi+vprv+++=follow
the ^ati++++=the
standard ^nn++++=standard
operating ^vwbg+++xvbg+=operating
procedure ^nn++++=procedure,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
includes ^vb++++=includes
the ^ati++++=the
use ^nn++++=use
of ^in++++=of
a ^at++++=a
liquid ^jj++++=liquid-resistant
- ^zz++++=EXTRAWORD
resistant ^jj+atrb+++=EXTRAWORD
surgical ^jj+atrb+++=surgical
mask ^nn++++=mask,
, ^zz++++=EXTRAWORD
surgical ^jj+atrb+++=surgical
gown ^nn++++=gown,
, ^zz++++=EXTRAWORD
gloves ^nns++++=gloves,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
eye ^nn++++=eye
protection ^nn++++=protection.
. ^zz++++=EXTRAWORD
