Assessing ^vbg+++xvbg+=Assessing
the ^ati++++=the
prevalence ^nn+++??+=prevalence
trends ^nns++++=trends
of ^in++++=of
viral ^nn+++??+=viral
infections ^nns++++=infections
among ^in++++=among
blood ^nn++++=blood
donors ^nns++++=donors
is ^vbz+bez+vrb++=is
essential ^nn++++=essential
for ^in++++=for
evaluating ^nn+++??+=evaluating
the ^ati++++=the
effectiveness ^nn++++=effectiveness
of ^in++++=of
blood ^nn++++=blood
safety ^nn++++=safety
strategies ^nns+++??+=strategies
and ^cc++++=and
for ^in++++=for
informing ^xvbg+++xvbg+=informing
improvements ^nns++++=improvements
to ^to++++=to
enhance ^vbi++++=enhance
transfusion ^nn++++=transfusion
safety ^nn++++=safety,
, ^zz++++=EXTRAWORD
including ^in++++=including
minimizing ^xvbg+++xvbg+=minimizing
the ^ati++++=the
potential ^nn++++=potential
risk ^vb++++=risk
of ^in++++=of
Sars ^np+++??+=SARS-CoV-2
- ^zz++++=EXTRAWORD
cov ^nn+++??+=EXTRAWORD
- ^zz++++=EXTRAWORD
2 ^zz++++=EXTRAWORD
transmission ^nn++++=transmission
through ^in++++=through
blood ^nn++++=blood
transfusion ^nn++++=transfusion
[ ^zz++++=[15].
15 ^cd++++=EXTRAWORD
] ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Additionally ^np+++??+=Additionally,
, ^zz++++=EXTRAWORD
determining ^vbg+++xvbg+=determining
the ^ati++++=the
prevalence ^nn+++??+=prevalence
of ^in++++=of
Sars ^np+++??+=SARS-CoV-2
- ^zz++++=EXTRAWORD
cov ^nn+++??+=EXTRAWORD
- ^zz++++=EXTRAWORD
2 ^zz++++=EXTRAWORD
among ^in++++=among
blood ^nn++++=blood
donors ^nns++++=donors
can ^md+pos+++=can
serve ^vb++++=serve
as ^in++++=as
a ^at++++=a
means ^nn++++=means
of ^in++++=of
monitoring ^xvbg+++xvbg+=monitoring
viral ^nn+++??+=viral
circulation ^nn++++=circulation
within ^in++++=within
the ^ati++++=the
healthy ^jj+atrb+++=healthy
population ^nn++++=population,
, ^zz++++=EXTRAWORD
thereby ^rb++++=thereby
supporting ^vbg+++xvbg+=supporting
the ^ati++++=the
development ^nn++++=development
of ^in++++=of
strategies ^nns+++??+=strategies
to ^to++++=to
reduce ^vbi++++=reduce
transmission ^nn++++=transmission
risk ^nn++++=risk,
, ^zz++++=EXTRAWORD
particularly ^rb++++=particularly
in ^in++++=in
settings ^nns++++=settings
where ^wrb+who+++=where
seroprevalence ^jj+atrb++??+=seroprevalence
surveys ^nns++++=surveys
are ^vb+ber+vrb++=are
unavailable ^jj+pred+++=unavailable.
. ^zz++++=EXTRAWORD
However ^rb+cnj+++=However,
, ^zz++++=EXTRAWORD
there ^ex+pex+++=there
is ^vbz+bez+vrb++=is
a ^at++++=a
limited ^jj+atrb++xvbn+=limited
number ^nn++++=number
of ^in++++=of
studies ^nns++++=studies
investigating ^vwbg+++xvbg+=investigating
Sars ^np+++??+=SARS-CoV-2
- ^zz++++=EXTRAWORD
cov ^nn+++??+=EXTRAWORD
- ^zz++++=EXTRAWORD
2 ^zz++++=EXTRAWORD
prevalence ^nn+++??+=prevalence
among ^in++++=among
blood ^nn++++=blood
donors ^nns++++=donors.
. ^zz++++=EXTRAWORD
Two ^cd++++=Two
unpublished ^jj+atrb+++=unpublished
studies ^nns++++=studies
have ^vb+hv+aux++=have
reported ^vprf+++xvbnx+=reported
seroprevalence ^nn+++??+=seroprevalence
rates ^nns++++=rates
of ^in++++=of
1.7 ^cd++++=1.7%
% ^zz++++=EXTRAWORD
in ^in++++=in
Denmark ^np++++=Denmark
and ^cc++++=and
2.7 ^cd++++=2.7%
% ^zz++++=EXTRAWORD
in ^in++++=in
the ^ati++++=the
netherlands ^np++++=Netherlands,
, ^zz++++=EXTRAWORD
respectively ^rb++++=respectively
[ ^zz++++=[16,
16 ^cd++++=EXTRAWORD
, ^zz++++=EXTRAWORD
17 ^cd++++=17].
] ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
