The ^ati++++=The
emergence ^nn++++=emergence
of ^in++++=of
severe ^jj+atrb+++=severe
acute ^jj+atrb+++=acute
respiratory ^jj+atrb+++=respiratory
syndrome ^nn++++=syndrome
coronavirus ^nns+++??+=coronavirus
2 ^zz++++=2
( ^zz++++=(SARS-CoV-2)
sars ^nns+++??+=EXTRAWORD
- ^zz++++=EXTRAWORD
cov ^nn+++??+=EXTRAWORD
- ^zz++++=EXTRAWORD
2 ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
and ^cc++++=and
its ^pp$+it+++=its
association ^nn++++=association
with ^in++++=with
severe ^jj+atrb+++=severe
pneumonia ^nn++++=pneumonia
and ^cc++++=and
increased ^jj+atrb++xvbn+=increased
mortality ^nn++++=mortality
have ^vb+hv+aux++=have
highlighted ^vprf+++xvbnx+=highlighted
deficiencies ^nns++++=deficiencies
in ^in++++=in
health ^nn++++=health
systems ^nns++++=systems
globally ^nn+++??+=globally.
. ^zz++++=EXTRAWORD
While ^cs+sub+++=While
the ^ati++++=the
primary ^jj+atrb+++=primary
focus ^nn++++=focus
has ^vbz+hvz+aux++=has
been ^vprf+ben+vrb+xvbnx+=been
on ^in++++=on
the ^ati++++=the
care ^nn++++=care
of ^in++++=of
hospitalized ^nn+++??+=hospitalized
patients ^nns++++=patients,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
also ^rb++++=also
essential ^jj+pred+++=essential
to ^to+jcmp+++=to
strengthen ^vbi++++=strengthen
Primary ^jj+atrb+++=Primary
Health ^nn++++=Health
Care ^nn++++=Care
( ^zz++++=(PHC)
phc ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
interventions ^nns++++=interventions.
. ^zz++++=EXTRAWORD
Phc ^np+++??+=PHC
serves ^vbz++++=serves
as ^in++++=as
the ^ati++++=the
initial ^jj+atrb+++=initial
point ^nn++++=point
of ^in++++=of
contact ^nn++++=contact
with ^in++++=with
the ^ati++++=the
health ^nn++++=health
system ^nn++++=system
in ^in++++=in
many ^ap++++=many
countries ^nns++++=countries,
, ^zz++++=EXTRAWORD
including ^in++++=including
Brazil ^np++++=Brazil,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
is ^vbz+bez+vrb++=is
integral ^jj+pred+++=integral
to ^in++++=to
the ^ati++++=the
prevention ^nn++++=prevention,
, ^zz++++=EXTRAWORD
protection ^nn++++=protection,
, ^zz++++=EXTRAWORD
promotion ^nn++++=promotion,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
treatment ^nn++++=treatment
of ^in++++=of
health ^nn++++=health
at ^in++++=at
both ^abx++++=both
individual ^nn++++=individual
and ^cc++++=and
community ^nn++++=community
levels ^nns++++=levels.
. ^zz++++=EXTRAWORD
Brazil ^np++++=Brazil,
, ^zz++++=EXTRAWORD
similar ^jj++++=similar
to ^in++++=to
other ^ap++++=other
nations ^nns++++=nations,
, ^zz++++=EXTRAWORD
has ^vbz+hvz+aux++=has
confronted ^vprf+++xvbnx+=confronted
significant ^jj++++=significant
challenges ^vbz++++=challenges
during ^in++++=during
the ^ati++++=the
Sars ^np+++??+=SARS-CoV-2
- ^zz++++=EXTRAWORD
cov ^nn+++??+=EXTRAWORD
- ^zz++++=EXTRAWORD
2 ^zz++++=EXTRAWORD
pandemic ^nn+++??+=pandemic.
. ^zz++++=EXTRAWORD
Given ^vpbn+v++xvbn+=Given
Brazil ^np++++=Brazil
s ^zz++++=s
universal ^nn++++=universal
and ^cc++++=and
decentralized ^jj+atrb++??+=decentralized
health ^nn++++=health
system ^nn++++=system,
, ^zz++++=EXTRAWORD
in ^in++++=in
which ^whp+rel+pied++=which
Phc ^np+++??+=PHC
functions ^nns++++=functions
as ^in++++=as
the ^ati++++=the
foundational ^nn+++??+=foundational
model ^nn++++=model
for ^in++++=for
health ^nn++++=health
system ^nn++++=system
organization ^nn++++=organization,
, ^zz++++=EXTRAWORD
this ^dt+dem+++=this
article ^nn++++=article
examines ^vbz++++=examines
the ^ati++++=the
critical ^jj+atrb+++=critical
importance ^nn++++=importance
of ^in++++=of
reinforcing ^xvbg+++xvbg+=reinforcing
Phc ^np+++??+=PHC
in ^in++++=in
Brazil ^np++++=Brazil
during ^in++++=during
the ^ati++++=the
coronavirus ^nns+++??+=coronavirus
disease ^nn++++=disease
2019 ^cd++++=2019
( ^zz++++=(COVID-19)
covid ^nn++++=EXTRAWORD
- ^zz++++=EXTRAWORD
19 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
pandemic ^nn++++=pandemic.
. ^zz++++=EXTRAWORD
