To ^in++++=To
the ^ati++++=the
best ^nn++++=best
of ^in++++=of
our ^pp$+pp1+++=our
knowledge ^nn++++=knowledge,
, ^zz++++=EXTRAWORD
this ^dt+dem+++=this
study ^nn++++=study
represents ^vbz++++=represents
the ^ati++++=the
first ^rb++++=first
large ^jj++++=large-scale
- ^zz++++=EXTRAWORD
scale ^nn++++=EXTRAWORD
seroprevalence ^nn+++??+=seroprevalence
survey ^vb++++=survey
of ^in++++=of
Sars ^np+++??+=SARS-CoV-2
- ^zz++++=EXTRAWORD
cov ^nn+++??+=EXTRAWORD
- ^zz++++=EXTRAWORD
2 ^zz++++=EXTRAWORD
infection ^nn++++=infection
among ^in++++=among
asymptomatic ^nn+++??+=asymptomatic
individuals ^nns++++=individuals
in ^in++++=in
Rio ^np+++??+=Rio
de ^&fw++++=de
Janeiro ^np+++??+=Janeiro,
, ^zz++++=EXTRAWORD
Brazil ^np++++=Brazil.
. ^zz++++=EXTRAWORD
While ^cs+sub+++=While
the ^ati++++=the
survey ^nn++++=survey
sample ^nn++++=sample
was ^vbd+bedz+aux++=was
not ^xnot++not++=not
randomly ^rb++++=randomly
selected ^vbd+++xvbn+=selected
from ^in++++=from
the ^ati++++=the
general ^jj+atrb+++=general
population ^nn++++=population,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
includes ^vb++++=includes
a ^at++++=a
demographically ^nn+++??+=demographically
and ^cc++++=and
socially ^rb++++=socially
diverse ^jj+atrb+++=diverse
group ^nn++++=group
of ^in++++=of
healthy ^jj+atrb+++=healthy
participants ^nns++++=participants,
, ^zz++++=EXTRAWORD
thereby ^rb++++=thereby
enabling ^vbg+++xvbg+=enabling
a ^at++++=a
preliminary ^jj+atrb+++=preliminary
assessment ^nn++++=assessment
of ^in++++=of
antibody ^nn++++=antibody
prevalence ^nn+++??+=prevalence
in ^in++++=in
asymptomatic ^nn+++??+=asymptomatic
individuals ^nns++++=individuals.
. ^zz++++=EXTRAWORD
The ^ati++++=The
prevalence ^nn+++??+=prevalence
estimates ^nns++++=estimates
reported ^vbd+vpub++xvbn+=reported
in ^in++++=in
this ^dt+dem+++=this
study ^nn++++=study
have ^vb+hv+aux++=have
been ^vprf+ben+aux+xvbnx+=been
adjusted ^vpsv++agls+xvbnx+=adjusted
for ^in++++=for
the ^ati++++=the
sensitivity ^nn++++=sensitivity
and ^cc++++=and
specificity ^nn++++=specificity
of ^in++++=of
the ^ati++++=the
serological ^nn++++=serological
test ^vb++++=test
used ^vbd+++xvbn+=used
and ^cc+phrs+++=and
weighted ^vbd+++xvbn+=weighted
according ^in+cmpx+++=according
to ^in"++++=to
the ^ati++++=the
age ^nn++++=age
and ^cc++++=and
sex ^nn++++=sex
distribution ^nn++++=distribution
of ^in++++=of
the ^ati++++=the
population ^nn++++=population,
, ^zz++++=EXTRAWORD
providing ^vbg+++xvbg+=providing
a ^at++++=a
more ^rbr++++=more
accurate ^jj+atrb+++=accurate
representation ^nn++++=representation
of ^in++++=of
antibody ^nn++++=antibody
prevalence ^nn++++=prevalence
at ^rb++++=at
the ^ati++++=the
population ^nn++++=population
level ^nn++++=level.
. ^zz++++=EXTRAWORD
