Similarly ^rb+cnj+++=Similarly,
, ^zz++++=EXTRAWORD
the ^ati++++=the
annual ^jj+atrb+++=annual
recruitment ^nn++++=recruitment
of ^in++++=of
climbers ^nns+++??+=climbers
in ^in++++=in
the ^ati++++=the
< ^zz++++=<
2.5 ^cd++++=2.5
cm ^nnu++++=cm
dbh ^nn+++??+=dbh
class ^nn++++=class
was ^vbd+bedz+vrb++=was
significantly ^rb++++=significantly
higher ^jjr+pred+++=higher
than ^in++++=than
that ^dt+dem+++=that
of ^in++++=of
plants ^nns++++=plants
in ^in++++=in
the ^ati++++=the
shrub ^nn++++=shrub-tree
- ^zz++++=EXTRAWORD
tree ^nn++++=EXTRAWORD
synusia ^nn+++??+=synusia
( ^zz++++=(Mann-Whitney
mann ^np++++=EXTRAWORD
- ^zz++++=EXTRAWORD
whitney ^np++++=EXTRAWORD
Test ^nn++++=Test,
, ^zz++++=EXTRAWORD
U ^zz++++=U
= ^zz++++==
7.5 ^cd++++=7.5,
, ^zz++++=EXTRAWORD
p ^zz++++=p
= ^zz++++==
0.0005 ^nn+++??+=0.0005;
; ^zz++++=EXTRAWORD
Figure ^nn++++=Figure
3 ^zz++++=3).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
In ^in++++=In
contrast ^nn++++=contrast,
, ^zz++++=EXTRAWORD
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=was
no ^at++++=no
significant ^jj+atrb+++=significant
difference ^nn++++=difference
in ^in++++=in
annual ^jj+atrb+++=annual
recruitment ^nn++++=recruitment
between ^in++++=between
climbers ^nns+++??+=climbers
and ^cc++++=and
shrubs ^nns++++=shrubs
or ^cc++++=or
trees ^nns++++=trees
in ^in++++=in
the ^ati++++=the
> ^zz++++=>
2.5 ^cd++++=2.5
cm ^nnu++++=cm
dbh ^nn+++??+=dbh
class ^nn++++=class
( ^zz++++=(Mann-Whitney
mann ^np++++=EXTRAWORD
- ^zz++++=EXTRAWORD
whitney ^np++++=EXTRAWORD
Test ^nn++++=Test,
, ^zz++++=EXTRAWORD
U ^zz++++=U
= ^zz++++==
45 ^cd++++=45,
, ^zz++++=EXTRAWORD
p ^zz++++=p
= ^zz++++==
0.73 ^nn++++=0.73;
; ^zz++++=EXTRAWORD
figure ^nn++++=Figure
3 ^zz++++=3).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
