Two ^cd++++=Two
authors ^nns++++=authors
( ^zz++++=(ACPNP
acpnp ^nn+++??+=EXTRAWORD
and ^cc++++=and
Apr ^np+++??+=APR)
) ^zz++++=EXTRAWORD
will ^md+prd+++=will
independently ^rb++++=independently
extract ^nn++++=extract
data ^nns++++=data
using ^vwbg+++xvbg+=using
a ^at++++=a
predefined ^nn+++??+=predefined
extraction ^nn++++=extraction
form ^nn++++=form.
. ^zz++++=EXTRAWORD
Any ^dti++++=Any
discrepancies ^nns++++=discrepancies
or ^cc++++=or
disagreements ^nns++++=disagreements
will ^md+prd+++=will
be ^vb+be+aux++=be
resolved ^vpsv++by+xvbnx+=resolved
by ^in++++=by
a ^at++++=a
third ^nn++++=third
author ^nn++++=author
( ^zz++++=(CRRF).
crrf ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
The ^ati++++=The
extraction ^nn++++=extraction
form ^nn++++=form
will ^md+prd+++=will
include ^vb++++=include
information ^nn++++=information
on ^in++++=on
patient ^nn++++=patient
demographic ^jj+atrb+++=demographic
and ^cc+phrs+++=and
clinical ^jj+atrb+++=clinical
characteristics ^nns++++=characteristics,
, ^zz++++=EXTRAWORD
details ^nns++++=details
of ^in++++=of
the ^ati++++=the
pharmacological ^jj+atrb+++=pharmacological
treatment ^nn++++=treatment
( ^zz++++=(drug
drug ^nn++++=EXTRAWORD
name ^nn++++=name,
, ^zz++++=EXTRAWORD
treatment ^nn++++=treatment
duration ^nn++++=duration,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
dose ^nn++++=dose),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
time ^nn++++=time
points ^nns++++=points
for ^in++++=for
assessments ^nns++++=assessments,
, ^zz++++=EXTRAWORD
the ^ati++++=the
number ^nn++++=number
of ^in++++=of
patients ^nns++++=patients
lost ^vbd+++xvbn+=lost
to ^to++++=to
follow ^vbi+vprv+++=follow-up
- ^zz++++=EXTRAWORD
up ^rp++++=EXTRAWORD
in ^in++++=in
each ^dt++++=each
group ^nn++++=group,
, ^zz++++=EXTRAWORD
reasons ^nns++++=reasons
for ^in++++=for
loss ^nn++++=loss
to ^to++++=to
follow ^vbi+vprv+++=follow-up,
- ^zz++++=EXTRAWORD
up ^rp++++=EXTRAWORD
, ^zz++++=EXTRAWORD
methods ^nns++++=methods
for ^in++++=for
handling ^xvbg+++xvbg+=handling
missing ^jj+atrb++xvbg+=missing
data ^nns++++=data
( ^zz++++=(including
including ^in++++=EXTRAWORD
whether ^cs+who+++=whether
data ^nns++++=data
imputation ^nn+++??+=imputation
was ^vbd+bedz+aux++=was
performed ^vpsv++agls+xvbnx+=performed
and ^cc++++=and
the ^ati++++=the
use ^nn++++=use
of ^in++++=of
an ^at++++=an
intention ^nn++++=intention-to-treat
- ^zz++++=EXTRAWORD
to ^to++++=EXTRAWORD
- ^zz++++=EXTRAWORD
treat ^vb++++=EXTRAWORD
approach ^nn++++=approach),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
sources ^nns++++=sources
of ^in++++=of
funding ^nn+++??+=funding,
, ^zz++++=EXTRAWORD
potential ^jj+atrb+++=potential
conflicts ^nns++++=conflicts
of ^in++++=of
interest ^nn++++=interest,
, ^zz++++=EXTRAWORD
adverse ^jj+atrb+++=adverse
events ^nns++++=events,
, ^zz++++=EXTRAWORD
outcome ^nn++++=outcome
measures ^nns++++=measures,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
protocol ^nn++++=protocol
deviations ^nns++++=deviations.
. ^zz++++=EXTRAWORD
To ^to++++=To
evaluate ^vbi++++=evaluate
the ^ati++++=the
feasibility ^nn+++??+=feasibility
of ^in++++=of
conducting ^xvbg+++xvbg+=conducting
a ^at++++=a
meta ^nn+++??+=meta-analysis,
- ^zz++++=EXTRAWORD
analysis ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
will ^md+prd+++=will
also ^rb++++=also
extract ^nn++++=extract,
, ^zz++++=EXTRAWORD
for ^in++++=for
each ^dt++++=each
primary ^jj+atrb+++=primary
and ^cc+phrs+++=and
secondary ^jj+atrb+++=secondary
outcome ^nn++++=outcome
measure ^nn++++=measure,
, ^zz++++=EXTRAWORD
the ^ati++++=the
total ^jj+atrb+++=total
number ^nn++++=number
of ^in++++=of
patients ^nns++++=patients
in ^in++++=in
each ^dt++++=each
group ^nn++++=group,
, ^zz++++=EXTRAWORD
the ^ati++++=the
number ^nn++++=number
of ^in++++=of
events ^nns++++=events
in ^in++++=in
each ^dt++++=each
group ^nn++++=group
for ^in++++=for
dichotomous ^nns+++??+=dichotomous
outcomes ^nns+++??+=outcomes,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
for ^in++++=for
continuous ^jj+atrb+++=continuous
outcomes ^nns+++??+=outcomes,
, ^zz++++=EXTRAWORD
the ^ati++++=the
mean ^nn++++=mean,
, ^zz++++=EXTRAWORD
standard ^jj+atrb+++=standard
deviation ^nn++++=deviation,
, ^zz++++=EXTRAWORD
standard ^jj+atrb+++=standard
error ^nn++++=error,
, ^zz++++=EXTRAWORD
median ^jjb++++=median,
, ^zz++++=EXTRAWORD
interquartile ^nn+++??+=interquartile
range ^nn++++=range,
, ^zz++++=EXTRAWORD
minimum ^jj++++=minimum,
, ^zz++++=EXTRAWORD
maximum ^nn++++=maximum,
, ^zz++++=EXTRAWORD
95 ^cd++++=95%
% ^zz++++=EXTRAWORD
confidence ^nn++++=confidence
interval ^nn++++=interval,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
p ^zz++++=p-value.
- ^zz++++=EXTRAWORD
value. ^nn++++=EXTRAWORD
