Based ^xvbn+++xvbn+=Based
on ^in++++=on
the ^ati++++=the
standard ^jj+atrb+++=standard
curve ^nn++++=curve
( ^zz++++=(y
y ^zz++++=EXTRAWORD
= ^zz++++==
61635x ^cd++++=61635x
11502 ^cd++++=11502;
; ^zz++++=EXTRAWORD
R ^zz++++=R
= ^zz++++==
0.9957 ^nn+++??+=0.9957),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
the ^ati++++=the
chloroform ^nn++++=chloroform
fraction ^nn++++=fraction
contained ^vbd+++xvbn+=contained
the ^ati++++=the
highest ^jjt+atrb+++=highest
concentration ^nn++++=concentration
of ^in++++=of
gallic ^nn+++??+=gallic
acid ^nn++++=acid
( ^zz++++=(52.02
52.02 ^cd++++=EXTRAWORD
mg ^nnu++++=mg/g),
followed ^vwbn+vprv++xvbn+=followed
by ^in++++=by
the ^ati++++=the
ethyl ^nn+++??+=ethyl
acetate ^nn+++??+=acetate
fraction ^nn++++=fraction
( ^zz++++=(50.39
50.39 ^cd++++=EXTRAWORD
mg ^nnu++++=mg/g)
and ^cc++++=and
the ^ati++++=the
ethanol ^nn+++??+=ethanol
extract ^nn++++=extract
( ^zz++++=(15.56
15.56 ^cd++++=EXTRAWORD
mg ^nnu++++=mg/g).
The ^ati++++=The
hexane ^nn+++??+=hexane
fraction ^nn++++=fraction
exhibited ^vprf+++xvbn+=exhibited
the ^ati++++=the
lowest ^jjt+atrb+++=lowest
gallic ^nn++++=gallic
acid ^jj+atrb+++=acid
content ^nn++++=content
( ^zz++++=(6.51
6.51 ^cd++++=EXTRAWORD
mg ^nnu++++=mg/g).
