Differentiated ^vbd+++xvbn+=Differentiated
dynamics ^nn++++=dynamics
are ^vb+ber+aux++=are
also ^rb++splt++=also
anticipated ^vpsv++agls+xvbnx+=anticipated
among ^in++++=among
successional ^nn+++??+=successional
groups ^nns++++=groups
within ^in++++=within
rainforests ^nns+++??+=rainforests
( ^zz++++=(Budowski
budowski ^nn+++??+=EXTRAWORD
1965 ^cd+date+++=1965,
, ^zz++++=EXTRAWORD
Swaine ^np+++??+=Swaine
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
1987 ^cd+date+++=1987,
, ^zz++++=EXTRAWORD
Whitmore ^np+++??+=Whitmore
1989 ^cd+date+++=1989,
, ^zz++++=EXTRAWORD
Gomes ^np+++??+=Gomes
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
2003 ^cd++++=2003,
, ^zz++++=EXTRAWORD
Schorn ^np+++??+=Schorn
& ^zz++++=&
Galv ^np+++??+=Galv
o ^zz++++=o
2009 ^cd++++=2009),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
such ^abl++++=such
as ^ql++++=as
those ^dt+pdem+++=those
found ^vbd+vprv++xvbn+=found
in ^in++++=in
the ^ati++++=the
Pefi ^np+++??+=PEFI
forest ^nn++++=forest,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
is ^vbz+bez+vrb++=is
characterized ^nn+++??+=characterized
by ^in++++=by
a ^at++++=a
mosaic ^nn++++=mosaic
of ^in++++=of
secondary ^jj+atrb+++=secondary
areas ^nns++++=areas
at ^in++++=at
various ^jj+atrb+++=various
successional ^nn+++??+=successional
stages ^nns++++=stages
( ^zz++++=(Nastri
nastri ^nn+++??+=EXTRAWORD
1992 ^cd+date+++=1992,
, ^zz++++=EXTRAWORD
Struffaldi ^np+++??+=Struffaldi-De-Vuono
- ^zz++++=EXTRAWORD
de ^&fw++++=EXTRAWORD
- ^zz++++=EXTRAWORD
vuono ^nn+++??+=EXTRAWORD
1985 ^cd+date+++=1985,
, ^zz++++=EXTRAWORD
Costa ^np++++=Costa
& ^zz++++=&
Mantovani ^np+++??+=Mantovani
1992 ^cd+date+++=1992,
, ^zz++++=EXTRAWORD
Gomes ^np+++??+=Gomes
& ^zz++++=&
Mantovani ^np+++??+=Mantovani
2001 ^cd++++=2001,
, ^zz++++=EXTRAWORD
Pivello ^np+++??+=Pivello
& ^zz++++=&
Peccinini ^np+++??+=Peccinini
2002 ^cd++++=2002,
, ^zz++++=EXTRAWORD
Gomes ^np+++??+=Gomes
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
2003 ^cd++++=2003).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Accordingly ^rb+cnj+++=Accordingly,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
also ^rb++++=also
report ^vb++++=report
the ^ati++++=the
status ^nn++++=status
of ^in++++=of
successional ^nn+++??+=successional
groups ^nns++++=groups,
, ^zz++++=EXTRAWORD
with ^in++++=with
the ^ati++++=the
expectation ^nn++++=expectation
that ^tht+ncmp+++=that
earlyand ^nn+++??+=earlyand
late ^jj++++=late-successional
- ^zz++++=EXTRAWORD
successional ^nn+++??+=EXTRAWORD
plants ^nns++++=plants
will ^md+prd+++=will
exhibit ^vb++++=exhibit
distinct ^jj+atrb+++=distinct
patterns ^nns++++=patterns
of ^in++++=of
mortality ^nn++++=mortality
and ^cc++++=and
recruitment ^nn++++=recruitment.
. ^zz++++=EXTRAWORD
