Current ^jj+atrb+++=Current
evidence ^nn++++=evidence
indicates ^vbz+vpub+++=indicates
an ^at++++=an
international ^jj+atrb+++=international
consensus ^nn++++=consensus
that ^tht+rel+obj++=that
patients ^nns++++=patients
with ^in++++=with
inflammatory ^jj+atrb+++=inflammatory
bowel ^nn++++=bowel
disease ^nn++++=disease
( ^zz++++=(IBD)
ibd ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
are ^vb+ber+vrb++=are
not ^xnot++not++=not
at ^in++++=at
increased ^nn++++=increased
risk ^vb++++=risk
of ^in++++=of
Sars ^np+++??+=SARS-CoV-2
- ^zz++++=EXTRAWORD
cov ^nn+++??+=EXTRAWORD
- ^zz++++=EXTRAWORD
2 ^zz++++=EXTRAWORD
infection ^nn++++=infection
compared ^vbd+++xvbn+=compared
to ^in++++=to
the ^ati++++=the
general ^jj+atrb+++=general
population ^nn++++=population;
; ^zz++++=EXTRAWORD
however ^rb+cnj+++=however,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
remains ^nns++++=remains
unclear ^nn+++??+=unclear
whether ^cs+who+++=whether
active ^jj+atrb+++=active
inflammation ^nn+++??+=inflammation
in ^in++++=in
Ibd ^np+++??+=IBD
patients ^nns++++=patients
contributes ^vbz++++=contributes
to ^in++++=to
a ^at++++=a
higher ^jjr+atrb+++=higher
susceptibility ^nn++++=susceptibility
to ^in++++=to
Sars ^np+++??+=SARS-CoV-2.
- ^zz++++=EXTRAWORD
cov ^nn+++??+=EXTRAWORD
- ^zz++++=EXTRAWORD
2 ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Additionally ^np+++??+=Additionally,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
uncertain ^jj+pred+++=uncertain
whether ^cs+who+++=whether
Ibd ^np+++??+=IBD
patients ^nns++++=patients
who ^whp+rel+obj++=who
contract ^nn++++=contract
Sars ^np+++??+=SARS-CoV-2
- ^zz++++=EXTRAWORD
cov ^nn+++??+=EXTRAWORD
- ^zz++++=EXTRAWORD
2 ^zz++++=EXTRAWORD
are ^vb+ber+vrb++=are
at ^in++++=at
greater ^nn++++=greater
risk ^vb++++=risk
of ^in++++=of
developing ^xvbg+++xvbg+=developing
Covid ^np+++??+=COVID-19,
- ^zz++++=EXTRAWORD
19 ^cd++++=EXTRAWORD
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
experience ^nn++++=experience
higher ^jjr+atrb+++=higher
rates ^nns++++=rates
of ^in++++=of
complications ^nns++++=complications
or ^cc++++=or
mortality ^nn++++=mortality
associated ^vbd+++xvbn+=associated
with ^in++++=with
the ^ati++++=the
disease ^nn++++=disease.
. ^zz++++=EXTRAWORD
Data ^nns++++=Data
on ^in++++=on
outcomes ^nns+++??+=outcomes
in ^in++++=in
immunosuppressed ^nn+++??+=immunosuppressed
Ibd ^np+++??+=IBD
patients ^nns++++=patients
with ^in++++=with
Sars ^np+++??+=SARS-CoV-2
 ^zz++++=EXTRAWORD
Cov ^nn++++=EXTRAWORD
 ^zz++++=EXTRAWORD
 ^zz++++=EXTRAWORD
Infection ^nn++++=infection
Are ^vb+ber+vrb++=are
Particularly ^rb++++=particularly
Limited ^jj+pred+++=limited.
 ^zz++++=EXTRAWORD
