Antimicrobial ^np+++??+=Antimicrobial
agents ^nns++++=agents
that ^tht+rel+subj++=that
are ^vb+ber+vrb++=are
inexpensive ^jj+pred+++=inexpensive,
, ^zz++++=EXTRAWORD
exhibit ^vb++++=exhibit
low ^jj+atrb+++=low
toxicity ^nn+++??+=toxicity,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
are ^vb+ber+vrb++=are
easy ^jj+pred+++=easy
to ^to+jcmp+++=to
apply ^vbi++++=apply
such ^abl++++=such
as ^ql++++=as
those ^dt+pdem+++=those
commonly ^rb++++=commonly
found ^vbd+vprv++xvbn+=found
in ^in++++=in
households ^nns++++=households
or ^cc++++=or
readily ^rb++++=readily
available ^jj++++=available
commercially ^rb++++=commercially
should ^md+nec+++=should
be ^vb+be+aux++=be
considered ^vpsv++agls+xvbnx+=considered
as ^ql++++=as
potential ^jj+atrb+++=potential
interventions ^nns++++=interventions
[ ^zz++++=[27].
27 ^cd++++=EXTRAWORD
] ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Both ^abx++++=Both
70 ^cd++++=70%
% ^zz++++=EXTRAWORD
hydrogen ^nn++++=hydrogen
peroxide ^nn++++=peroxide
spray ^nn++++=spray
and ^cc++++=and
apple ^nn++++=apple
cider ^nn++++=cider
vinegar ^nn++++=vinegar
spray ^nn++++=spray
have ^vb+hv+aux++=have
been ^vprf+ben+aux+xvbnx+=been
shown ^vpsv++agls+xvbnx+=shown
to ^to+vcmp+++=to
effectively ^rb++splt++=effectively
eliminate ^vbi++++=eliminate
viable ^jj+atrb+++=viable
cells ^nns++++=cells
from ^in++++=from
bacterial ^jj+atrb+++=bacterial
biofilms ^nns++++=biofilms
[ ^zz++++=[13,27].
13,27 ^cd++++=EXTRAWORD
]. ^nn++++=EXTRAWORD
