According ^in+cmpx+++=According
to ^in"++++=to
the ^ati++++=the
World ^nn++++=World
Health ^nn++++=Health
Organization ^nn++++=Organization,
, ^zz++++=EXTRAWORD
testing ^nvbg+++xvbg+=testing,
, ^zz++++=EXTRAWORD
diagnosing ^j++++=diagnosing,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
isolating ^vbg+++xvbg+=isolating
individuals ^nns++++=individuals
are ^vb+ber+vrb++=are
essential ^nn++++=essential
strategies ^nns+++??+=strategies
for ^in++++=for
controlling ^xvbg+++xvbg+=controlling
the ^ati++++=the
spread ^nn+++xvbn+=spread
of ^in++++=of
Severe ^jj+atrb+++=Severe
Acute ^jj+atrb+++=Acute
Respiratory ^jj+atrb+++=Respiratory
Syndrome ^np+++??+=Syndrome
Coronavirus ^np+++??+=Coronavirus
2 ^zz++++=2
( ^zz++++=(SARS-CoV-2)
sars ^nns+++??+=EXTRAWORD
- ^zz++++=EXTRAWORD
cov ^nn+++??+=EXTRAWORD
- ^zz++++=EXTRAWORD
2 ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
and ^cc++++=and
its ^pp$+it+++=its
associated ^jj+atrb++xvbn+=associated
clinical ^jj+atrb+++=clinical
syndrome ^nn++++=syndrome,
, ^zz++++=EXTRAWORD
coronavirus ^nns+++??+=coronavirus
disease ^nn++++=disease
( ^zz++++=(COVID-19).
covid ^nn+++??+=EXTRAWORD
- ^zz++++=EXTRAWORD
19 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Asymptomatic ^np+++??+=Asymptomatic
health ^nn++++=health-care
- ^zz++++=EXTRAWORD
care ^nn++++=EXTRAWORD
workers ^nns++++=workers
( ^zz++++=(HCWs)
hcws ^nns+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
represent ^vb++++=represent
a ^at++++=a
potentially ^rb++++=potentially
underestimated ^vprf+++xvbn+=underestimated
source ^nn++++=source
of ^in++++=of
infection ^nn++++=infection
and ^cc++++=and
should ^md+nec+++=should
therefore ^rb+cnj+++=therefore
be ^vb+be+aux++=be
considered ^vbd+vprv++xvbn+=considered
for ^in++++=for
routine ^jj+atrb+++=routine
testing ^nn++++=testing.
. ^zz++++=EXTRAWORD
