While ^cs+sub+++=While
considerable ^jj+atrb+++=considerable
attention ^nn++++=attention
has ^vbz+hvz+aux++=has
been ^vprf+ben+aux+xvbnx+=been
directed ^vpsv++agls+xvbnx+=directed
toward ^in++++=toward
the ^ati++++=the
hospital ^nn++++=hospital
network ^nn++++=network,
, ^zz++++=EXTRAWORD
Primary ^jj+atrb+++=Primary
Health ^nn++++=Health
Care ^nn++++=Care
( ^zz++++=(PHC)
phc ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
has ^vbz+hvz+aux++=has
received ^vprf+++xvbnx+=received
comparatively ^rb++++=comparatively
little ^ap++++=little
focus ^nn++++=focus.
. ^zz++++=EXTRAWORD
In ^in++++=In
Brazil ^np++++=Brazil's
's ^$++++=EXTRAWORD
Covid ^np+++??+=COVID-19
- ^zz++++=EXTRAWORD
19 ^cd++++=EXTRAWORD
response ^nn++++=response
plan ^nn++++=plan,
, ^zz++++=EXTRAWORD
there ^ex+pex+++=there
is ^vbz+bez+vrb++=is
no ^at++++=no
explicit ^jj+atrb+++=explicit
mention ^nn++++=mention
of ^in++++=of
investment ^nn++++=investment
in ^in++++=in
or ^cc++++=or
strengthening ^nvbg+++xvbg+=strengthening
of ^in++++=of
this ^dt+dem+++=this
component ^nn++++=component
of ^in++++=of
the ^ati++++=the
health ^nn++++=health
system ^nn++++=system.
. ^zz++++=EXTRAWORD
The ^ati++++=The
lack ^nn++++=lack
of ^in++++=of
emphasis ^nn++++=emphasis
on ^in++++=on
Phc ^np+++??+=PHC
may ^md+pos+++=may
undermine ^vb++++=undermine
the ^ati++++=the
overall ^jjb+atrb+++=overall
effectiveness ^nn++++=effectiveness
of ^in++++=of
the ^ati++++=the
response ^nn++++=response,
, ^zz++++=EXTRAWORD
potentially ^rb++++=potentially
accelerating ^vbg+++xvbg+=accelerating
the ^ati++++=the
risk ^nn++++=risk
of ^in++++=of
health ^nn++++=health
system ^nn++++=system
collapse ^nn++++=collapse
as ^ql++++=as
covid ^np++++=COVID-19
- ^zz++++=EXTRAWORD
19 ^cd++++=EXTRAWORD
cases ^nns++++=cases
increase ^nn++++=increase
in ^in++++=in
the ^ati++++=the
country ^nn++++=country.
. ^zz++++=EXTRAWORD
