Results ^nns++++=Results:
: ^zz++++=EXTRAWORD
Countries ^nns++++=Countries
without ^in++++=without
a ^at++++=a
Bcg ^np+++??+=BCG
vaccination ^nn++++=vaccination
program ^nn+++??+=program,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
that ^dt+pdem+++=that
have ^vb+hv+aux++=have
never ^rb++splt++=never
implemented ^vprf+++xvbnx+=implemented
one ^pn++++=one,
, ^zz++++=EXTRAWORD
exhibited ^jj+atrb++xvbn+=exhibited
incidence ^nn++++=incidence
and ^cc++++=and
mortality ^nn++++=mortality
acceleration ^nn++++=acceleration
rates ^nns++++=rates
that ^tht+rel+subj++=that
were ^vbd+bed+vrb++=were
21.36 ^cd++++=21.36
and ^cc++++=and
53.21 ^cd++++=53.21
times ^nns++++=times
higher ^jjr++++=higher,
, ^zz++++=EXTRAWORD
respectively ^rb+cnj+++=respectively,
, ^zz++++=EXTRAWORD
than ^in++++=than
those ^dt+dem+++=those
observed ^jj+++xvbn+=observed
in ^in++++=in
countries ^nns++++=countries
with ^in++++=with
a ^at++++=a
universal ^jj+atrb+++=universal
vaccination ^nn++++=vaccination
program ^nn+++??+=program
( ^zz++++=(p
p ^zz++++=EXTRAWORD
< ^zz++++=<
0.001 ^nn+++??+=0.001).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Furthermore ^rb+cnj+++=Furthermore,
, ^zz++++=EXTRAWORD
countries ^nns++++=countries
with ^in++++=with
an ^at++++=an
expanded ^jj+atrb++xvbn+=expanded
vaccination ^nn++++=vaccination
program ^vb+++??+=program
demonstrated ^vbd+vprv++xvbn+=demonstrated
a ^at++++=a
43 ^cd++++=43%
% ^zz++++=EXTRAWORD
lower ^jjr+atrb+++=lower
mortality ^nn++++=mortality
rate ^nn++++=rate
compared ^vbd+++xvbn+=compared
to ^in++++=to
those ^dt+dem+++=those
with ^in++++=with
a ^at++++=a
vaccination ^nn++++=vaccination
program ^jj+++??+=program
limited ^jj+++xvbn+=limited
to ^in++++=to
administration ^nn++++=administration
at ^in++++=at
birth ^nn++++=birth
( ^zz++++=(p
p ^zz++++=EXTRAWORD
< ^zz++++=<
0.001 ^nn++++=0.001).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
