Regarding ^in++++=Regarding
shrub ^nn++++=shrub-tree
- ^zz++++=EXTRAWORD
tree ^nn++++=EXTRAWORD
and ^cc++++=and
climber ^nn++++=climber
dynamics ^nn++++=dynamics,
, ^zz++++=EXTRAWORD
annual ^jj+atrb+++=annual
mortality ^nn++++=mortality
rates ^nns++++=rates
of ^in++++=of
climbers ^nns+++??+=climbers
were ^vbd+bed+vrb++=were
significantly ^rb++++=significantly
higher ^jjr+pred+++=higher
than ^in++++=than
those ^dt+dem+++=those
of ^in++++=of
plants ^nns++++=plants
in ^in++++=in
the ^ati++++=the
shrub ^nn++++=shrub-tree
- ^zz++++=EXTRAWORD
tree ^nn++++=EXTRAWORD
synusia ^nn+++??+=synusia
for ^in++++=for
both ^abx++++=both
diameter ^nn++++=diameter
classes ^nns++++=classes:
: ^zz++++=EXTRAWORD
individuals ^nns++++=individuals
with ^in++++=with
< ^zz++++=<
2.5 ^cd++++=2.5
cm ^nnu++++=cm
dbh ^nn+++??+=dbh
( ^zz++++=(Mann-Whitney
mann ^np++++=EXTRAWORD
- ^zz++++=EXTRAWORD
whitney ^np++++=EXTRAWORD
Test ^nn++++=Test,
, ^zz++++=EXTRAWORD
U ^zz++++=U
= ^zz++++==
7 ^zz++++=7,
, ^zz++++=EXTRAWORD
p ^zz++++=p
= ^zz++++==
0.0004 ^nn+++??+=0.0004)
) ^zz++++=EXTRAWORD
and ^cc++++=and
those ^dt+dem+++=those
with ^in++++=with
> ^zz++++=>
2.5 ^cd++++=2.5
cm ^nnu++++=cm
dbh ^nn+++??+=dbh
( ^zz++++=(Mann-Whitney
mann ^np++++=EXTRAWORD
- ^zz++++=EXTRAWORD
whitney ^np++++=EXTRAWORD
Test ^nn++++=Test,
, ^zz++++=EXTRAWORD
U ^zz++++=U
= ^zz++++==
16 ^cd++++=16,
, ^zz++++=EXTRAWORD
p ^zz++++=p
= ^zz++++==
0.009 ^nn++++=0.009;
; ^zz++++=EXTRAWORD
see ^vb+vprv+++=see
figure ^nn++++=Figure
3 ^zz++++=3
and ^cc++++=and
table ^nn++++=Table
4 ^zz++++=4).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
